model,feature,importance
random_forest,2m_temp_min_mean_90,0.0015765145445924915
random_forest,elon_ratio,0.0015705733949616383
random_forest,surf_press_mean_1,0.0015557797595371376
random_forest,gc_sc_fra,0.001545563901353214
random_forest,surf_net_solar_rad_mean_mean_14,0.0015380074833124028
random_forest,oc_fra,0.001520111314535583
random_forest,surf_net_therm_rad_max,0.001505204079978611
random_forest,total_et_sum_60,0.0014947804601372955
random_forest,hi_prec_du,0.0014687429714425526
random_forest,2m_temp_mean_mean_90,0.001466055980053897
random_forest,gc_mt_fra,0.001451789769788115
random_forest,surf_net_solar_rad_mean_mean_7,0.0014378459618083724
random_forest,surf_net_therm_rad_mean_mean_1,0.0014266806216932286
random_forest,total_et,0.0013868747739270546
random_forest,total_et_sum_1,0.0013546473546628272
random_forest,volsw_4_mean_7,0.0013288723361476512
random_forest,elev_ran,0.001299453406809916
random_forest,total_et_sum_14,0.0012988208014567367
random_forest,soil_tawc,0.0012842406404767175
random_forest,surf_net_therm_rad_mean,0.0012833713670033183
random_forest,geol_poros,0.0012719667631978062
random_forest,2m_temp_mean,0.0012695028315299112
random_forest,surf_net_solar_rad_max,0.0012587042973246554
random_forest,total_et_sum_30,0.0012564036067355192
random_forest,2m_temp_min,0.0012216554837850416
random_forest,2m_temp_mean_mean_1,0.0011998915352087402
random_forest,2m_temp_min_mean_1,0.0011762158617241944
random_forest,2m_temp_max_mean_1,0.0011067122308858514
random_forest,geol_perme,0.001100727192681829
random_forest,volsw_4_mean_3,0.0011005357783961133
random_forest,swe_mean_7,0.0011004420317978917
random_forest,surf_net_solar_rad_mean_mean_1,0.0010567487305204076
random_forest,elev_mean,0.001011832237280031
random_forest,elev_med,0.0010107966361844608
random_forest,surf_net_solar_rad_mean,0.0010031784669541051
random_forest,2m_temp_max,0.0009962105039327505
random_forest,bare_fra,0.0008046424948756456
random_forest,volsw_123_lag_7,0.0007264368624037357
random_forest,soil_poros,0.0007183273821792068
random_forest,swe_lag_1,0.0007108785857571401
random_forest,volsw_4_mean_1,0.0006836477889962454
random_forest,volsw_4,0.0006611687353126023
random_forest,swe_mean_3,0.0006292270486710197
random_forest,gc_sm_fra,0.0006119018856760944
random_forest,swe_mean_1,0.0005672119113155364
random_forest,swe,0.0005016078605977895
random_forest,gc_su_fra,0.00036417544825692393
random_forest,gc_vb_fra,0.0003549855886313058
random_forest,gaps_pre,0.0002843782812509721
random_forest,gc_wb_fra,0.00019561723433335703
random_forest,gaps_post,0.00018721782838427645
random_forest,is_impacted,0.00016295147465059158
random_forest,gc_va_fra,0.0001231579528910655
random_forest,gc_ss_fra,8.306875451929998e-05
random_forest,gc_pb_fra,6.864338335373579e-05
random_forest,gc_ig_fra,4.9594137538393855e-05
random_forest,diur_art,4.8518078833355525e-05
random_forest,gc_py_fra,1.3177193647076289e-05
random_forest,diur_glac,4.722723311248987e-06
random_forest,gc_pi_fra,4.205016361100295e-06
random_forest,has_transfer,0.0
random_forest,transfer_count,0.0
xgboost,p_mean,0.10545216500759125
xgboost,prec_sum_60,0.05768830329179764
xgboost,arid_1,0.05357541888952255
xgboost,prec_sum_30,0.04335211217403412
xgboost,arid_2,0.041696324944496155
xgboost,swe_delta_30,0.030549410730600357
xgboost,strm_dens,0.02931448444724083
xgboost,2m_temp_mean_mean_7,0.028605187311768532
xgboost,lo_prec_fr,0.021879903972148895
xgboost,swe_mean_90,0.02044638805091381
xgboost,2m_temp_mean_mean_3,0.019759157672524452
xgboost,prec_sum_14,0.016341209411621094
xgboost,prec_sum_7,0.014525916427373886
xgboost,swe_delta_7,0.014083076268434525
xgboost,2m_temp_max_mean_180,0.013478525914251804
xgboost,volsw_123,0.011833772994577885
xgboost,volsw_4_mean_3,0.011097215116024017
