split,attribute,target,spearman_rho,n
test,urban_fra,pbias_xgb,0.23306680196762872,100
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
val,urban_fra,kge_rf,-0.22376118018947194,100
spatial_test,area_calc,pbias_rf,0.22208883553421366,50
test,soil_condu,pbias_xgb,0.2214947558166476,100
val,aridity,memory_gain_xlstm_vs_rf,0.21944391334880686,100
val,bfi,memory_gain_xlstm_vs_rf,-0.21653474812524454,100
val,fdc_slope,kge_xgb,-0.21439008217942931,100
val,forest_fra,pbias_xlstm,0.21354119789594947,100
test,fdc_slope,kge_xlstm,0.21166580157851517,100
val,forest_fra,kge_rf,-0.21005478649883974,100
spatial_test,forest_fra,pbias_xlstm,0.20981606973790223,50
spatial_test,aridity,kge_xgb,-0.20902192576273046,50
test,soil_tawc,pbias_rf,0.2084626559465603,100
val,geol_perme,pbias_rf,0.20792678713790597,100
test,soil_condu,pbias_rf,0.20711010899087326,100
test,geol_poros,pbias_xlstm,-0.20697164535965995,100
val,aridity,tree_advantage,-0.2051553241123722,100
val,aridity,sequence_gain_vs_tree,0.2051553241123722,100
train,forest_fra,pbias_xlstm,0.2029679502510143,100
spatial_test,is_impacted,tree_advantage,0.20250607688851807,50
spatial_test,is_impacted,sequence_gain_vs_tree,-0.20250607688851807,50
val,is_impacted,kge_rf,0.19762182624358965,100
val,soil_tawc,memory_gain_xlstm_vs_rf,0.19695015167821905,100
test,bfi,pbias_xgb,0.19643789435428113,100
spatial_test,forest_fra,pbias_xgb,0.19406425676604783,50
spatial_test,aridity,memory_gain_xlstm_vs_rf,-0.19283245461080212,50
spatial_test,frac_snow,kge_xgb,0.1927819727267377,50
test,forest_fra,kge_xlstm,-0.19210066790993732,100
val,area_calc,memory_gain_xlstm_vs_rf,-0.19164716471647164,100
val,urban_fra,kge_xlstm,-0.19081927909479693,100
spatial_test,aridity,tree_advantage,0.19052653587106164,50
spatial_test,aridity,sequence_gain_vs_tree,-0.19052653587106164,50
spatial_test,bfi,kge_xlstm,0.1868510350652187,49
spatial_test,geol_poros,pbias_xgb,-0.18613039660574845,50
test,forest_fra,memory_gain_xlstm_vs_rf,0.1854338812280287,100
test,aridity,pbias_xlstm,0.18421473618939566,100
test,bfi,pbias_xlstm,0.18393211852308142,100
val,area_calc,pbias_xlstm,0.18329432943294327,100
val,area_calc,sequence_gain_vs_tree,-0.1809300930093009,100
val,area_calc,tree_advantage,0.1809300930093009,100
val,is_impacted,kge_xgb,0.17889975849419698,100
test,forest_fra,pbias_rf,-0.17769296779898994,100
spatial_test,is_impacted,memory_gain_xlstm_vs_rf,-0.17753957425842684,50
val,fdc_slope,kge_xlstm,0.17718024956650272,100
val,geol_poros,memory_gain_xlstm_vs_rf,0.17607847226688272,100
spatial_test,forest_fra,pbias_rf,0.17571915751224174,50
val,geol_poros,tree_advantage,-0.17489512497944792,100
val,geol_poros,sequence_gain_vs_tree,0.17489512497944792,100
val,soil_tawc,tree_advantage,-0.17457109907059404,100
val,soil_tawc,sequence_gain_vs_tree,0.17457109907059404,100
test,is_impacted,pbias_xgb,0.17335247916104357,100
test,forest_fra,tree_advantage,-0.1723103326471699,100
test,forest_fra,sequence_gain_vs_tree,0.1723103326471699,100
