model,split,ID,nse,kge,rmse,mae,pbias,log_nse,n
random_forest,spatial_test,50,0.5848067607126064,0.4273543556839225,1.081522410653659,0.6558765858581845,-23.41201272846731,0.6954941228641973,1461
random_forest,spatial_test,75,0.6569984903411404,0.8177599657497047,1.1393551621594424,0.7756191156115836,8.399685477118807,0.6931361017024543,1461
random_forest,spatial_test,89,0.2927550932937767,0.475982477091514,2.085234280493429,1.6112680066792051,46.18835492621539,0.2714390025670808,1461
random_forest,spatial_test,91,0.4628739702108573,0.5235106669123617,2.128605101573938,1.2271168629442095,8.04067952149597,0.5497646753506296,1461
random_forest,spatial_test,93,0.579628815654647,0.5775627036788589,1.8628483902899085,0.9616247376077316,-18.114370991576116,0.7383409745862589,1461
random_forest,spatial_test,106,0.7085139369352431,0.7365916130724931,1.124516300922073,0.7337265125518814,3.698004646237487,0.7593035292038186,1461
random_forest,spatial_test,133,0.3049830190361862,0.381437684689925,2.9270323925999007,1.9550320424816168,27.974951213160285,0.2507680554145014,1461
random_forest,spatial_test,147,0.1109950079855527,0.4422449244313253,1.9997268066194165,1.5599745202052735,39.98335229026638,0.0030748030160786,1461
random_forest,spatial_test,183,0.5359858476558268,0.4326557580378851,1.044525095393454,0.4463901953491205,-19.36478150673383,0.6833161240922285,1459
random_forest,spatial_test,185,0.5610339705198374,0.6595649861093615,0.5061386396095006,0.2852152910816039,2.4561980240105035,0.6259929978955046,1461
random_forest,spatial_test,191,0.3643965238023857,0.3227798281230413,1.3032988557028782,0.477277278331885,5.538085275408891,0.5386909471448073,1461
random_forest,spatial_test,204,0.3430820119541136,0.3021540140002531,3.3486637733284903,2.118467707351929,-20.301540703787097,0.5382865652868177,1461
random_forest,spatial_test,216,0.4470248036946435,0.4189195328790212,1.754303148874515,1.0399176654450513,-26.233431512751167,0.5451612136594515,1461
random_forest,spatial_test,219,0.5433972056216901,0.5231273446717587,1.4143699986883826,0.5700372344646141,-11.997563561484954,0.650666849407566,1461
random_forest,spatial_test,262,0.3656236805586681,0.3036040768162273,3.6384415722169536,1.4320123598928995,-18.284570989464516,0.5090621351672542,1461
random_forest,spatial_test,282,0.3326456720317005,0.2175535694656848,2.3438515214263185,0.842371548841234,-21.58330524744125,0.5562359346441833,1461
random_forest,spatial_test,284,0.495935122771315,0.5483974523765287,0.4345898860085933,0.3019379533407674,27.576218206506137,0.4127819241536178,1461
random_forest,spatial_test,323,0.7081834954263858,0.7392019927392566,0.3372481558795369,0.264056513128086,9.281616746734809,0.6986021924908817,1461
random_forest,spatial_test,329,0.0773736003697701,0.2309401726939806,1.1285781272073545,0.6408902665468899,-39.70677856078391,-0.8976600697512724,1461
random_forest,spatial_test,331,0.1366619494188757,0.046155710914004,1.8990141086483712,0.6118812054970529,-38.56696499412992,0.1091773653330206,1461
random_forest,spatial_test,375,-38.75377191419483,-0.1428671764315412,0.7661099430298227,0.7526709892742569,-86.37782329295713,-69.51953989269187,1461
random_forest,spatial_test,376,-44.139420895653984,-0.0319618200599647,0.6813297665148098,0.6714699865624852,-84.98672365229532,-74.07808222121322,1461
random_forest,spatial_test,393,0.3200118104982574,0.5547543132191367,0.1125633003499846,0.0770080925901612,37.29930969580843,0.3442695491526422,1461
random_forest,spatial_test,397,0.2783109441333017,0.5853458955004602,0.1387825011795299,0.0861130748360738,28.817386487102596,0.4415986681066722,1461
random_forest,spatial_test,406,0.331425098057644,0.5853105396703602,0.411727769076649,0.2947144370290669,12.019618418934302,0.3103136487217589,1461
random_forest,spatial_test,431,-0.8004960630102729,0.0803036215820091,0.2695009858048439,0.1602410398032804,62.623539934843194,-0.7429899251926397,1461
random_forest,spatial_test,450,0.3274418772888502,0.3162923294987397,0.6999983593620753,0.2885990740001946,-8.804287562565586,0.4820790866601813,1461
random_forest,spatial_test,499,0.5791190098791461,0.7872332186274028,0.4818337798203805,0.3219538083565629,9.872783257729775,0.6646160087384028,1461
random_forest,spatial_test,523,0.4650311006155073,0.4265492801668729,0.7577355120875265,0.2532609423289112,-9.806467646910292,0.6701277368938106,1461
random_forest,spatial_test,525,0.5764941156585464,0.7556704555275385,0.91296614233292,0.5821543911592537,11.42181319191943,0.6742261724586529,1461
random_forest,spatial_test,580,-0.3008376765195262,0.4991699807499383,0.5291204834733848,0.4094986995946931,36.82043478353608,-0.2238966355471565,1461
random_forest,spatial_test,596,0.3114971941016011,0.5052710419655235,0.944195949637399,0.7021958283179294,24.36709345267321,0.2653830194811557,1461
random_forest,spatial_test,612,0.6491539472855233,0.7088171854591409,0.3085605775186898,0.216791238592466,-0.7358813831694017,0.6715930014687128,1459
random_forest,spatial_test,667,0.5859362287685206,0.5611657988290191,0.6911582146350249,0.4683874057978794,19.97825607247129,0.4959592391354647,1433
random_forest,spatial_test,671,0.6000036685404138,0.605319799873422,0.7510313787931687,0.3889804702775464,4.6143083814700585,0.6533571299558604,1461
random_forest,spatial_test,679,-4.11698370033674,-0.5185009557545168,1.4127894361475208,1.182757034957773,133.40784095263172,-5.319369944133997,1458
random_forest,spatial_test,684,0.5046355668806425,0.5679655462538483,1.307078150884428,0.8669490738238465,-23.716857796477804,0.4396677423464566,1458
random_forest,spatial_test,691,0.2104495694517224,0.6811884311050567,0.359183767582635,0.2721674266474338,-16.674145188345484,0.1928810886499292,1458
random_forest,spatial_test,699,0.2662681344288357,0.3840638477372918,0.5031882362700594,0.3832520134450031,35.79138002314926,0.0216690794307639,1458
random_forest,spatial_test,717,0.4185421156266883,0.4595958874524458,0.8703861653809208,0.7524382414966538,49.88705779837098,0.1984201803546953,1459
random_forest,spatial_test,748,0.4625162056751887,0.3984751654875129,0.669680955388628,0.3661133008901338,-17.588022560354556,0.5928994068963072,1461
random_forest,spatial_test,758,-3404.483540859776,-49.8072670977725,0.726466226532964,0.6292838852194209,4227.28277637037,-1692.445675911985,1457
random_forest,spatial_test,806,0.6132075344997587,0.6913070468377974,1.1409478651924854,0.7789942399410874,-16.71345966929593,0.5671988657566676,1461
random_forest,spatial_test,813,0.100421903419029,0.0398819932063228,4.0583356112757745,2.4490908257851696,-61.27959798838682,0.4755261470310251,1461
random_forest,spatial_test,819,0.1529766541985929,0.1633926628011398,1.9740699332085403,1.2930509994731998,-53.3746019944587,0.1352119897532755,1461
random_forest,spatial_test,828,0.6073491619127729,0.6409161935807813,0.1851279370203059,0.0839761908250408,3.3223593172942745,0.6690013069817983,1461
random_forest,spatial_test,833,0.3874628723103475,0.3070184510256536,0.9258878688908926,0.4590212246968127,2.229863771862848,0.52192305502225,1461
random_forest,spatial_test,836,0.4297300304591376,0.3572237440436074,0.6505538290914464,0.320196007802218,-2.6343079765607453,0.5856569667913696,1461
random_forest,spatial_test,865,0.5172421556504339,0.6815067739529836,0.1557923223893575,0.113602581593822,23.76414706163296,0.4833136754903433,1461
random_forest,spatial_test,869,0.3501571016062775,0.6354382199661,0.1443772619028328,0.0779594119667655,16.380962929934725,0.4422353472595072,1461
random_forest,test,3,0.1383639140942428,0.2383873994691498,0.8663206875756052,0.4760973329586905,6.124632399754878,0.103727718159072,1461
random_forest,test,7,0.5730661792097365,0.7251802397597865,0.8546221514191799,0.6014263710575996,14.630017062488823,0.5671064524969875,1461
random_forest,test,14,0.3755140902480827,0.2564564423627274,5.731909928109104,2.2708474673941423,-30.66620526751389,0.6410671549571634,1461
random_forest,test,15,0.4266109401931965,0.3331888262148944,4.055259524495866,1.7743646293961155,-20.11556209752257,0.633471818391685,1461
random_forest,test,45,0.7125460708692117,0.7707462453487965,0.8934316708025388,0.6645018667154996,-9.324384597373484,0.6670322819982464,1461
random_forest,test,49,0.6563184316052908,0.7716336362641438,0.6719489109614538,0.3547032511147305,8.498113236194241,0.7699334068602545,1461
random_forest,test,54,0.8395123731304369,0.879292889484109,0.6063753222041216,0.338958404022016,6.779860428601282,0.9166219946348038,1461
random_forest,test,64,0.8815586672986097,0.9067329392329958,0.6135419785812135,0.424831200035399,0.6733965213943599,0.8792899472461075,1461
random_forest,test,77,0.898991018007524,0.9242407098352904,0.538709611573275,0.3753499091084132,2.8266052053562034,0.904420527136722,1461
random_forest,test,78,0.2486895039921972,0.2202432546283546,1.0416391147367476,0.3129007014880957,2.6172954882850443,0.5217243818493251,1461
random_forest,test,83,0.7441143508180523,0.7049652177950654,1.702790682546809,0.9552064502343178,-6.7385751727398615,0.8701231974639232,1461
random_forest,test,87,0.591649038225784,0.6370378742646763,1.4517848826580302,1.0816557446492905,-7.428855058508421,0.6003932543452933,1461
random_forest,test,103,0.7290345647537542,0.8133582257500702,1.124388081178051,0.7217013237927977,2.849354398852679,0.7896771566416342,1461
random_forest,test,105,0.6591058044020108,0.7106526056627964,1.2241733500659155,0.7847326479991648,3.1243203947749314,0.7345977806983989,1461
random_forest,test,121,0.2429219363657166,0.246722333078926,5.648828718232394,4.513119464926552,-2.8864179576631055,0.132794541514422,1461
random_forest,test,122,0.7995666616847537,0.7527072419890296,1.1252307752942328,0.760819639316973,0.3669660626607975,0.8329600253237918,1461
random_forest,test,148,0.2938427318957162,0.2187997956950995,2.70411932030432,0.7284594528501348,-16.838731225605493,0.6031139491577944,1461
random_forest,test,150,0.537989125091275,0.5390718646406965,0.9791726504332974,0.4758927524469762,3.468368219970676,0.6225928911057743,1461
random_forest,test,154,0.4743441093538308,0.5792044627191735,0.7866604869845891,0.4470856566968756,17.097570444186932,0.540391988040521,1461
random_forest,test,163,0.5089347811459207,0.5117458468242324,1.1422438437159186,0.4913171560020066,-7.796177032947794,0.5817311672133467,1461
random_forest,test,177,0.4019009388405049,0.3271833441825575,1.367859478695691,0.4662331040180665,-14.361686292175364,0.6428333764160177,1461
random_forest,test,182,0.5760219929385362,0.5455842449827175,0.783100718731399,0.3968965391021742,8.788354473061741,0.6331735580241235,1461
