split,event_type,model,events,basins,median_peak_ratio,median_peak_bias_pct,median_abs_peak_bias_pct,median_volume_ratio,median_volume_bias_pct,median_abs_volume_bias_pct,median_peak_timing_error_days,median_abs_peak_timing_error_days,hit_rate
test,cool_season_rain,random_forest,143,58,0.5029378341754275,-49.70621656578507,50.8817304905691,0.6441540459690146,-35.584595398827496,36.0189369271995,0.0,0.0,27.27272727272727
test,cool_season_rain,xgboost,143,58,0.34121014552669177,-65.87898544119491,66.03977041224141,0.508622753804864,-49.137724614363925,49.29490218119862,0.0,0.0,13.286713286713287
test,cool_season_rain,xlstm,133,56,0.4246878064701941,-57.53121932494815,57.54216407870564,0.28580564550444987,-71.41943543145877,71.41943543145877,0.0,1.0,16.541353383458645
test,long_rain_wet_soil,random_forest,461,94,0.6235058875049853,-37.64941124055113,39.28723763310497,0.8058545181537169,-19.414548180172627,23.778496023376587,0.0,0.0,53.14533622559653
test,long_rain_wet_soil,xgboost,461,94,0.5444777057684057,-45.55222941282186,47.81095845165203,0.6864696249531613,-31.353037502078443,33.1365668127706,0.0,0.0,36.8763557483731
test,long_rain_wet_soil,xlstm,438,92,0.5297989280304254,-47.02010717277727,47.83681190007616,0.3120581529172558,-68.7941847043598,68.7941847043598,0.0,1.0,36.5296803652968
test,rain_on_snow,random_forest,243,87,0.674350740482895,-32.564925931881994,32.77307603727467,0.8782335265173756,-12.176647344696413,17.518010483431002,0.0,0.0,52.2633744855967
test,rain_on_snow,xgboost,243,87,0.579375979805293,-42.06240199843341,42.119160204021924,0.7443977569515791,-25.56022430254137,27.27217516449215,0.0,0.0,32.098765432098766
test,rain_on_snow,xlstm,236,86,0.7025008882678683,-29.749911138055747,32.547579790428756,0.38640633089578774,-61.35936690780889,61.35936690780889,0.0,1.0,50.847457627118644
test,rainfall_runoff,random_forest,137,57,0.3311384040960837,-66.88615952600134,66.88615952600134,0.47688854897456406,-52.31114509247361,52.31114509247361,0.0,1.0,2.9197080291970803
test,rainfall_runoff,xgboost,137,57,0.2563648148684405,-74.36351850390724,74.36351850390724,0.42159248682679484,-57.84075130542345,57.84075130542345,0.0,1.0,2.9197080291970803
test,rainfall_runoff,xlstm,130,55,0.2850131186311734,-71.49868810577053,71.49868810577053,0.18086257694467048,-81.91374229815435,81.91374229815435,1.0,1.0,2.307692307692308
test,snowmelt,random_forest,218,81,0.6493092455016288,-35.0690754410869,35.909047788192,0.8045843881084023,-19.541561187008824,20.44819248690932,0.0,1.0,27.522935779816514
