split,ID,kge_cosero,kge_rf,kge_xgb,kge_xlstm,kge_transformer,nse_cosero,nse_rf,nse_xgb,nse_xlstm,nse_transformer,pbias_cosero,pbias_rf,pbias_xgb,pbias_xlstm,pbias_transformer,best_tree_kge,best_sequence_kge,memory_gain_xlstm_vs_rf,transformer_gain_vs_rf,sequence_gain_vs_tree,tree_advantage,xlstm_minus_transformer,xgboost_gain_vs_cosero,xlstm_gain_vs_cosero,transformer_gain_vs_cosero,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
train,538,,,,0.9572446576114706,,,,,0.947184657127903,,,,,0.7796543227841409,,,0.9572446576114706,,,,,,,,,s,A,4533578,2638553,1877.359,3.82,1.96,0.51,0.54,0.39,0.329,0.014,0.6,0.64,0.054,0.1,-12.6,0.019,0.745,0.802,3.237,259.028,0.056,7.944,0,1,0.745,3.237,0.51,impact_s,snow_influenced,humid,high_storage,mixed_perm,large
train,539,,,,0.8067105246819276,,,,,0.8308795422522184,,,,,-2.7759607018353782,,,0.8067105246819276,,,,,,,,,l,-,4536859,2643155,58.089,3.92,1.88,0.48,0.46,0.31,0.246,0.0,0.61,0.49,0.04,0.07,-14.1,0.01,0.702,0.737,2.7,254.194,1.032,3.516,0,0,0.702,2.7,0.48,near_natural,snow_influenced,humid,mixed_storage,low_perm,small
train,547,,,,0.9091048666826564,,,,,0.8799620090080533,,,,,-0.3252906433670921,,,0.9091048666826564,,,,,,,,,s,"A,E,I",4572903,2645790,1047.346,3.92,1.94,0.49,0.48,0.36,0.343,0.012,0.64,0.6,0.034,0.09,-13.5,0.011,0.761,0.74,1.654,239.444,0.028,0.167,0,1,0.761,1.654,0.49,impact_s,snow_influenced,humid,high_storage,low_perm,large
train,556,,,,0.8478879283211618,,,,,0.8635914997565888,,,,,1.2333726837406087,,,0.8478879283211618,,,,,,,,,l,D,4588960,2639694,286.058,3.01,2.11,0.7,0.5,0.23,0.514,0.055,0.78,0.69,0.073,0.11,-12.9,0.024,0.777,0.846,1.411,207.389,0.0,0.0,0,1,0.777,1.411,0.7,impact_l,snow_influenced,moderate_aridity,high_storage,mixed_perm,medium
train,562,,,,0.85147782069358,,,,,0.7712916481350299,,,,,1.1660404234464026,,,0.85147782069358,,,,,,,,,l,-,4630600,2628483,88.68,3.11,2.22,0.71,0.61,0.11,0.597,0.064,1.16,0.65,0.237,0.1,-14.1,0.01,0.851,0.871,0.873,182.833,0.0,0.0,0,0,0.851,0.873,0.71,near_natural,low_snow,moderate_aridity,high_storage,low_perm,small
train,563,,,,0.9500415970017442,,,,,0.9331569088958857,,,,,3.771068309319733,,,0.9500415970017442,,,,,,,,,l,D,4618403,2621410,165.493,3.18,2.24,0.7,0.62,0.11,0.584,0.089,1.14,0.69,0.174,0.11,-13.4,0.024,0.862,0.95,1.018,180.472,0.0,0.111,0,1,0.862,1.018,0.7,impact_l,low_snow,moderate_aridity,high_storage,low_perm,medium
train,569,,,,0.7902871335154178,,,,,0.8735321476816946,,,,,-5.011134662516744,,,0.7902871335154178,,,,,,,,,l,-,4598260,2614335,907.917,4.43,2.18,0.49,0.58,0.21,0.594,0.02,0.75,0.58,0.044,0.09,-12.1,0.048,0.712,0.749,1.571,192.778,1.583,0.0,0,0,0.712,1.571,0.49,near_natural,mixed_snow,humid,mixed_storage,high_perm,large
train,570,,,,0.6345921825547052,,,,,0.721581668828228,,,,,-4.510680058672894,,,0.6345921825547052,,,,,,,,,m,G,4600995,2609493,188.118,4.64,2.16,0.47,0.47,0.14,0.696,0.024,0.56,0.77,0.039,0.12,-11.9,0.103,0.7,0.722,1.471,183.75,2.167,0.528,0,1,0.7,1.471,0.47,impact_m,mixed_snow,humid,mixed_storage,high_perm,medium
train,576,,,,0.907156634052832,,,,,0.8627171404562347,,,,,1.2434708361417084,,,0.907156634052832,,,,,,,,,m,L,4627221,2637297,227.306,2.99,2.02,0.68,0.45,0.24,0.565,0.002,0.81,0.69,0.067,0.11,-13.1,0.021,0.714,0.754,2.023,222.25,0.278,4.056,0,1,0.714,2.023,0.68,impact_m,snow_influenced,moderate_aridity,mixed_storage,low_perm,medium
train,577,,,,0.5420095073705913,,,,,0.5567354047059001,,,,,-1.8739596119127808,,,0.5420095073705913,,,,,,,,,l,-,4631858,2646538,29.553,2.95,2.09,0.71,0.51,0.24,0.75,0.0,0.9,0.63,0.085,0.1,-14.1,0.01,0.697,0.704,1.929,213.7,0.5,2.4,0,0,0.697,1.929,0.71,near_natural,snow_influenced,moderate_aridity,mixed_storage,low_perm,small
