split,model,signature,n_basins,median_abs_error,ci_low,ci_high,ci_level,method
test,transformer,low_q_dur,100,1.178030303030303,0.7142857142857144,1.3579545454545454,0.95,basin_bootstrap_median
test,transformer,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,xgboost,q_mean,100,0.12805431993684,0.08879863266519725,0.1748661580958583,0.95,basin_bootstrap_median
test,xgboost,runoff_ratio,100,0.043392305417687904,0.03293504751923586,0.0544659169639158,0.95,basin_bootstrap_median
test,xgboost,fdc_slope,100,0.35568672317827754,0.27283949332188606,0.49470699779467076,0.95,basin_bootstrap_median
test,xgboost,baseflow_index,100,0.0931592892199435,0.0796787109201186,0.12000934114376975,0.95,basin_bootstrap_median
test,xgboost,hfd_mean,100,8.0,6.5,9.0,0.95,basin_bootstrap_median
test,xgboost,q05,100,0.1750772151680322,0.12472149595488324,0.2197590637801436,0.95,basin_bootstrap_median
test,xgboost,q95,100,0.5859851991780044,0.5122861917015218,0.9189940867847175,0.95,basin_bootstrap_median
test,xgboost,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,xgboost,high_q_dur,100,0.8256769374416435,0.718939393939394,0.9866666666666668,0.95,basin_bootstrap_median
test,xgboost,low_q_freq,100,0.0003422313483915,0.0,0.000684462696783,0.95,basin_bootstrap_median
test,xgboost,low_q_dur,100,1.8716666666666666,1.5681350812929757,2.4521230403583343,0.95,basin_bootstrap_median
test,xgboost,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
train,transformer,q_mean,100,0.044125400623817604,0.03326275343972625,0.0709618534609182,0.95,basin_bootstrap_median
train,transformer,runoff_ratio,100,0.0145698899178026,0.0104028546529966,0.0189393243223368,0.95,basin_bootstrap_median
train,transformer,fdc_slope,100,0.18581760155618726,0.1499979427236508,0.24001301703315558,0.95,basin_bootstrap_median
train,transformer,baseflow_index,100,0.0412748579741724,0.03599769939995355,0.05040772294587412,0.95,basin_bootstrap_median
train,transformer,hfd_mean,0,,,,0.95,basin_bootstrap_median
train,transformer,q05,100,0.0620997667449884,0.04158640200623235,0.08111658034965256,0.95,basin_bootstrap_median
train,transformer,q95,100,0.27976610850680306,0.22794821527797016,0.42136562564444174,0.95,basin_bootstrap_median
train,transformer,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
train,transformer,high_q_dur,100,0.2222222222222223,0.16313306258958435,0.33123276233570326,0.95,basin_bootstrap_median
train,transformer,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
train,transformer,low_q_dur,100,0.8243589743589745,0.6262626262626263,1.0018315018315016,0.95,basin_bootstrap_median
train,transformer,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,random_forest,q_mean,100,0.0968916885575723,0.0803890903621466,0.1220310672826117,0.95,basin_bootstrap_median
val,random_forest,runoff_ratio,100,0.031228346259673252,0.0257805256779928,0.03843081179464705,0.95,basin_bootstrap_median
val,random_forest,fdc_slope,100,0.23187618156412548,0.1556208794773134,0.29174333475750364,0.95,basin_bootstrap_median
val,random_forest,baseflow_index,100,0.08016356642054295,0.06839946830395945,0.10158824641548506,0.95,basin_bootstrap_median
val,random_forest,hfd_mean,100,5.25,3.75,6.0,0.95,basin_bootstrap_median
val,random_forest,q05,100,0.0927693519048665,0.0810677846272746,0.13279228377927896,0.95,basin_bootstrap_median
val,random_forest,q95,100,0.42826259271826667,0.3693762399677387,0.5392869186796099,0.95,basin_bootstrap_median
val,random_forest,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,random_forest,high_q_dur,100,0.9656723225688741,0.7505482456140351,1.1355498721227617,0.95,basin_bootstrap_median
val,random_forest,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,random_forest,low_q_dur,100,1.8598243861401755,1.333333333333333,2.4531135531135533,0.95,basin_bootstrap_median
val,random_forest,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,transformer,q_mean,100,0.08832393861355589,0.06523804682407275,0.11184315712213345,0.95,basin_bootstrap_median
val,transformer,runoff_ratio,100,0.027351121712954098,0.021636479517559197,0.0348084307624974,0.95,basin_bootstrap_median
val,transformer,fdc_slope,100,0.22113529185557196,0.176636253974789,0.2575086746553618,0.95,basin_bootstrap_median
val,transformer,baseflow_index,100,0.0480151944403798,0.03830707218505515,0.0563725191115914,0.95,basin_bootstrap_median
val,transformer,hfd_mean,1,8.0,8.0,8.0,0.95,basin_bootstrap_median
val,transformer,q05,100,0.0458113968827975,0.036904563967347245,0.0633201696644227,0.95,basin_bootstrap_median
val,transformer,q95,100,0.2795260428256654,0.2101834909035599,0.4744357041604641,0.95,basin_bootstrap_median
val,transformer,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,transformer,high_q_dur,100,0.613771645021645,0.4841269841269841,0.6972415084915077,0.95,basin_bootstrap_median
val,transformer,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,transformer,low_q_dur,100,1.211904761904762,1.0166666666666666,1.5499999999999998,0.95,basin_bootstrap_median
val,transformer,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,xgboost,q_mean,100,0.1372673599565219,0.1162628169320119,0.214273932803422,0.95,basin_bootstrap_median
val,xgboost,runoff_ratio,100,0.04419293795990695,0.03564339664971035,0.0663168507888769,0.95,basin_bootstrap_median
val,xgboost,fdc_slope,100,0.36674623283307195,0.2911067945738235,0.47673870513998395,0.95,basin_bootstrap_median
val,xgboost,baseflow_index,100,0.1042398004297024,0.07117291445893001,0.13249905460222305,0.95,basin_bootstrap_median
val,xgboost,hfd_mean,100,7.375,6.0,9.75,0.95,basin_bootstrap_median
val,xgboost,q05,100,0.13363827850956245,0.1039864339318831,0.1748256290484014,0.95,basin_bootstrap_median
val,xgboost,q95,100,0.7653328788318645,0.5884209577299637,0.9598670179439583,0.95,basin_bootstrap_median
val,xgboost,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,xgboost,high_q_dur,100,1.1283809966674416,0.8894230769230769,1.3652563520871144,0.95,basin_bootstrap_median
val,xgboost,low_q_freq,100,0.0,0.0,0.000684462696783,0.95,basin_bootstrap_median
val,xgboost,low_q_dur,100,1.7606060606060607,1.4095238095238098,2.3383838383838382,0.95,basin_bootstrap_median
val,xgboost,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
