split,model,metric,n_basins,median,ci_low,ci_high,ci_level,method
spatial_test,random_forest,kge,50,0.46778918227197996,0.3984751654875129,0.5579600560240778,0.95,basin_bootstrap_median
spatial_test,random_forest,nse,50,0.37654327643450775,0.3237268438935538,0.4804831116934112,0.95,basin_bootstrap_median
spatial_test,random_forest,log_nse,50,0.48963645731290406,0.39324448971666426,0.5530003049974064,0.95,basin_bootstrap_median
spatial_test,random_forest,pbias,50,3.51018198176588,-10.400925562025272,10.647298224824603,0.95,basin_bootstrap_median
spatial_test,random_forest,rmse,50,0.8916761538569205,0.6862439905749174,1.128662067315689,0.95,basin_bootstrap_median
spatial_test,random_forest,mae,50,0.5760958128119338,0.3861162418612747,0.7025982495571833,0.95,basin_bootstrap_median
spatial_test,transformer,kge,50,0.5064636945768702,0.4541348368043829,0.5753921948351137,0.95,basin_bootstrap_median
spatial_test,transformer,nse,50,0.3710950452129351,0.2864873571062428,0.475248977631698,0.95,basin_bootstrap_median
spatial_test,transformer,log_nse,50,0.4142252434738245,0.2436531876006028,0.5137137746173126,0.95,basin_bootstrap_median
spatial_test,transformer,pbias,50,-4.783257799988304,-18.61626491531192,-0.0962438117650069,0.95,basin_bootstrap_median
spatial_test,transformer,rmse,50,0.8404077657102728,0.6906978119398872,1.0999577626123973,0.95,basin_bootstrap_median
spatial_test,transformer,mae,50,0.5436988813482846,0.3991281767071087,0.6824451068676688,0.95,basin_bootstrap_median
spatial_test,xgboost,kge,50,0.4264011803352672,0.3430131193824545,0.49635035823608264,0.95,basin_bootstrap_median
spatial_test,xgboost,nse,50,0.350843945148302,0.3137627779543652,0.411867786238286,0.95,basin_bootstrap_median
spatial_test,xgboost,log_nse,50,0.43490156335211644,0.3108301598775056,0.5091904860348658,0.95,basin_bootstrap_median
spatial_test,xgboost,pbias,50,-0.09655915935836806,-16.358525199715487,5.171678907616706,0.95,basin_bootstrap_median
spatial_test,xgboost,rmse,50,0.8744733125962972,0.6919420254162783,1.1844499489686948,0.95,basin_bootstrap_median
spatial_test,xgboost,mae,50,0.5787572328583642,0.40213261357403296,0.6756652367709728,0.95,basin_bootstrap_median
test,random_forest,kge,100,0.6065494397741467,0.5539668950248994,0.6393497184868124,0.95,basin_bootstrap_median
test,random_forest,nse,100,0.5550272358446711,0.5079645930736272,0.5842918823374345,0.95,basin_bootstrap_median
test,random_forest,log_nse,100,0.6109042201256856,0.5681606612919979,0.661266007971366,0.95,basin_bootstrap_median
test,random_forest,pbias,100,1.8612131283247466,-2.572472228695441,4.563179679359703,0.95,basin_bootstrap_median
test,random_forest,rmse,100,0.7643231954183751,0.6719489109614538,0.8925929290311565,0.95,basin_bootstrap_median
test,random_forest,mae,100,0.423300975045961,0.3731946145206462,0.4837072444803485,0.95,basin_bootstrap_median
test,transformer,kge,100,0.6555912605667313,0.618294546412167,0.7170135352473345,0.95,basin_bootstrap_median
test,transformer,nse,100,0.595287766146806,0.5477040835949798,0.642645047365484,0.95,basin_bootstrap_median
test,transformer,log_nse,100,0.6708619109937033,0.6164880736271346,0.7047168398359865,0.95,basin_bootstrap_median
test,transformer,pbias,100,-4.285935752373031,-7.954151359822435,-2.143925673824931,0.95,basin_bootstrap_median
test,transformer,rmse,100,0.7246482435042707,0.6161752806494003,0.8548346389510436,0.95,basin_bootstrap_median
test,transformer,mae,100,0.39287619891344827,0.35643003672912943,0.4457827291614611,0.95,basin_bootstrap_median
test,xgboost,kge,100,0.4849580855786487,0.4474386768956859,0.5214179751786006,0.95,basin_bootstrap_median
test,xgboost,nse,100,0.46923157548647954,0.3929623343754883,0.5007150863743012,0.95,basin_bootstrap_median
test,xgboost,log_nse,100,0.5271050211202604,0.4896863304397834,0.5689460576872007,0.95,basin_bootstrap_median
test,xgboost,pbias,100,-4.9596381921802095,-8.852352601775225,-1.0256270460922674,0.95,basin_bootstrap_median
test,xgboost,rmse,100,0.8299125390781517,0.7388101994097115,1.0029466295939533,0.95,basin_bootstrap_median
test,xgboost,mae,100,0.4762601532376769,0.41283965885754975,0.5583284484683346,0.95,basin_bootstrap_median
train,transformer,kge,100,0.7435650414301125,0.7233617800699973,0.797788646726894,0.95,basin_bootstrap_median
train,transformer,nse,100,0.7423492151918454,0.6995231375237205,0.7834790691292015,0.95,basin_bootstrap_median
train,transformer,log_nse,100,0.786834006368734,0.757588136189094,0.8043388870111587,0.95,basin_bootstrap_median
train,transformer,pbias,100,-2.969911470486177,-3.9008808635746144,-2.0383370623006285,0.95,basin_bootstrap_median
train,transformer,rmse,100,0.6793157100682006,0.5868318418821545,0.7751982756408006,0.95,basin_bootstrap_median
train,transformer,mae,100,0.36188060681717593,0.2883104012248398,0.4210976214086829,0.95,basin_bootstrap_median
val,random_forest,kge,100,0.6037151927902887,0.562919925026695,0.6574756643683672,0.95,basin_bootstrap_median
val,random_forest,nse,100,0.5693424897925399,0.5414235429631826,0.6126861267701711,0.95,basin_bootstrap_median
val,random_forest,log_nse,100,0.6452338597284706,0.6248055936906005,0.6819324951379993,0.95,basin_bootstrap_median
val,random_forest,pbias,100,-2.262520512868126,-3.9423755840428463,0.2578563147549497,0.95,basin_bootstrap_median
val,random_forest,rmse,100,0.8116975295454172,0.7125859171768611,0.9634947833225234,0.95,basin_bootstrap_median
val,random_forest,mae,100,0.4411727582339038,0.3783142998145931,0.5038902451475167,0.95,basin_bootstrap_median
val,transformer,kge,100,0.7024580907135906,0.6456771128517282,0.7307225559805992,0.95,basin_bootstrap_median
val,transformer,nse,100,0.6081509328005414,0.5724730309810475,0.6605307038235829,0.95,basin_bootstrap_median
val,transformer,log_nse,100,0.6892642595016011,0.6649665196730126,0.7298345086451318,0.95,basin_bootstrap_median
