split,ID,kge_cosero,kge_rf,kge_xgb,kge_xlstm,kge_transformer,nse_cosero,nse_rf,nse_xgb,nse_xlstm,nse_transformer,pbias_cosero,pbias_rf,pbias_xgb,pbias_xlstm,pbias_transformer,best_tree_kge,best_sequence_kge,memory_gain_xlstm_vs_rf,transformer_gain_vs_rf,sequence_gain_vs_tree,tree_advantage,xlstm_minus_transformer,xgboost_gain_vs_cosero,xlstm_gain_vs_cosero,transformer_gain_vs_cosero,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
test,718,,0.5371690165317546,0.4215898781468107,,0.5354976394102102,,0.4589555918857023,0.3958452860708793,,0.4670145768550415,,5.690002632866316,1.25394286283405,,-11.696728147262716,0.5371690165317546,0.5354976394102102,,-0.001671377121544415,-0.001671377121544415,0.001671377121544415,,,,,l,-,4453750,2730656,96.458,5.12,2.37,0.46,0.65,0.25,0.851,0.005,0.64,0.64,0.077,0.09,-11.7,0.072,0.612,0.568,1.866,208.333,2.227,0.306,0,0,0.612,1.866,0.46,near_natural,snow_influenced,humid,low_storage,high_perm,small
test,725,,0.5726918921102444,0.4878302089149746,,0.5813875954393453,,0.5769963351891924,0.5100827645719942,,0.5570475276623452,,-10.660415819098333,-12.96105696678632,,-20.486251931783208,0.5726918921102444,0.5813875954393453,,0.008695703329100857,0.008695703329100857,-0.008695703329100857,,,,,l,-,4519138,2749317,181.516,5.23,2.29,0.44,0.63,0.19,0.758,0.026,0.8,0.71,0.04,0.1,-11.7,0.084,0.684,0.665,1.453,205.5,1.195,0.0,0,0,0.684,1.453,0.44,near_natural,mixed_snow,humid,mixed_storage,high_perm,medium
test,728,,0.7739848978242854,0.7146103605090366,,0.7678878067253894,,0.7117720695710434,0.6688047332633162,,0.7698694823028035,,7.51237886480429,4.886115899797658,,-1.1571264208723024,0.7739848978242854,0.7678878067253894,,-0.006097091098896001,-0.006097091098896001,0.006097091098896001,,,,,s,"A,E,I",4531908,2786834,6684.168,4.72,2.13,0.45,0.57,0.28,0.43,0.039,3.18,0.65,0.06,0.1,-12.0,0.067,0.765,0.754,1.634,231.611,0.167,0.0,0,1,0.765,1.634,0.45,impact_s,snow_influenced,humid,high_storage,high_perm,large
test,740,,0.530464748598678,0.4290394003050067,,0.7147777990673045,,0.5366430064029846,0.4578823368784307,,0.7493446296807986,,4.73728265741206,-1.1544269940991494,,-2.902959353369486,0.530464748598678,0.7147777990673045,,0.18431305046862656,0.18431305046862656,-0.18431305046862656,,,,,l,-,4194304,2766772,16.807,3.96,2.06,0.52,0.51,0.1,0.669,0.0,1.0,1.24,0.041,0.16,-14.1,0.01,0.572,0.521,2.325,146.5,5.25,25.028,0,0,0.572,2.325,0.52,near_natural,low_snow,humid,low_storage,low_perm,small
test,747,,0.6240473286535702,0.4923041456617444,,0.767743922538262,,0.5912434633889505,0.4902844612150253,,0.6426085578270975,,-2.4143348086019514,-8.122096585859929,,-5.1114027104913164,0.6240473286535702,0.767743922538262,,0.1436965938846918,0.1436965938846918,-0.1436965938846918,,,,,m,B,4324616,2772612,136.338,3.26,2.26,0.69,0.76,0.07,0.348,0.02,15.0,1.3,0.238,0.16,-11.3,0.236,0.731,0.7,0.97,176.722,0.306,0.056,0,1,0.731,0.97,0.69,impact_m,low_snow,moderate_aridity,high_storage,high_perm,medium
test,769,,0.4501163757255062,0.4049124048955648,,0.3790941514319923,,0.4066037875871365,0.3461706812221266,,0.3880687954934465,,-2.7970285802976464,-7.082397461333132,,-15.335613854509294,0.4501163757255062,0.3790941514319923,,-0.0710222242935139,-0.0710222242935139,0.0710222242935139,,,,,l,-,4316760,2774820,59.636,3.08,2.26,0.73,0.82,0.06,0.223,0.069,14.05,1.3,0.249,0.16,-11.6,0.222,0.755,0.726,0.661,175.778,0.861,0.0,0,0,0.755,0.661,0.73,near_natural,low_snow,moderate_aridity,high_storage,high_perm,small
test,773,,0.4308328210746461,0.3930111781245821,,0.5330828847917326,,0.4082325307170947,0.3247666490821641,,0.5157876573476898,,6.612291892076455,-8.002300371627365,,4.866957596398709,0.4308328210746461,0.5330828847917326,,0.1022500637170865,0.1022500637170865,-0.1022500637170865,,,,,l,-,4319906,2762656,30.195,3.39,2.26,0.67,0.71,0.08,0.423,0.012,14.7,1.3,0.313,0.17,-13.1,0.215,0.796,0.778,0.607,179.519,0.704,0.0,0,0,0.796,0.607,0.67,near_natural,low_snow,moderate_aridity,high_storage,low_perm,small
test,777,,0.5103192889641923,0.4021540725082213,,0.7475498340397572,,0.5876007886956824,0.494033366880639,,0.685663810155668,,-16.48238227302767,-23.790085110275147,,-6.886139808642175,0.5103192889641923,0.7475498340397572,,0.23723054507556485,0.23723054507556485,-0.23723054507556485,,,,,u,-,4330501,2737179,19.023,4.38,2.26,0.52,0.54,0.14,0.886,0.0,3.13,1.22,0.317,0.17,-11.5,0.211,0.564,0.499,1.957,176.414,3.035,11.38,0,0,0.564,1.957,0.52,near_natural,mixed_snow,humid,low_storage,high_perm,small
test,787,,0.2522424907565762,0.2902237916481678,,0.6804404572526173,,-1.0203165155853382,-0.8597099468302678,,0.4157255801035114,,51.69968731542064,46.25648669851959,,6.889360558517542,0.2902237916481678,0.6804404572526173,,0.4281979664960411,0.39021666560444945,-0.39021666560444945,,,,,m,G,4289789,2793685,327.046,2.93,2.16,0.74,0.85,0.08,0.426,0.043,1.34,0.98,0.178,0.13,-11.8,0.064,0.794,0.853,1.727,185.25,0.0,0.899,0,1,0.794,1.727,0.74,impact_m,low_snow,moderate_aridity,high_storage,high_perm,medium
test,790,,0.5388738745460426,0.2348140984520546,,0.6240274306006683,,0.5586249741989238,0.3403514801678667,,0.4772769637156718,,-6.67152053495785,-19.60428062876124,,-18.06187442861111,0.5388738745460426,0.6240274306006683,,0.08515355605462571,0.08515355605462571,-0.08515355605462571,,,,,s,"E,M",4346785,2861075,106.956,2.52,2.29,0.91,1.03,0.06,0.226,0.048,1.19,1.17,0.329,0.16,-12.7,0.176,0.423,0.341,2.982,138.5,19.784,87.491,0,1,0.423,2.982,0.91,impact_s,low_snow,dry,low_storage,mixed_perm,small
