event_id,split,ID,event_start,event_end,first_high_date,last_high_date,peak_date,season,water_year,month,duration_days,high_flow_days,threshold_q95,peak_q,event_volume_q,p3,p7,p30,event_precip,temp7,temp30,swe_before,swe_mean7,swe_delta_7,soil_wetness,soil_wetness_30,frac_snow,aridity,p_season,area_calc,event_type,climate_sensitivity,heavy_rain_flag,rain_concentrated_flag,snowpack_flag,melt_flag,wet_antecedent_flag
test_3_0015,test,3,2016-12-11,2016-12-15,2016-12-13,2016-12-13,2016-12-13,DJF,2017,12,5,1,2.3636340807174827,3.115533632286995,5.39451121076233,2.2400000000000215,2.2400000000000144,31.46,2.24,-1.542857142857145,-1.7133333333333336,60.49,59.82714285714285,-0.030000000000001137,0.44857142857142857,0.45066666666666666,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_3_0016,test,3,2016-12-31,2017-01-14,2017-01-02,2017-01-12,2017-01-04,DJF,2017,1,15,10,2.3636340807174827,5.49718385650224,46.372035874439455,18.81000000000002,18.810000000000013,31.02,78.03999999999999,-7.871428571428574,-4.233333333333333,66.47,67.59857142857143,6.650000000000006,0.43142857142857144,0.44033333333333335,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_3_0017,test,3,2017-01-14,2017-01-21,2017-01-16,2017-01-19,2017-01-16,DJF,2017,1,8,3,2.3636340807174827,5.867838565022421,18.26733632286995,21.320000000000018,41.15000000000001,92.57,21.970000000000002,-12.52857142857143,-8.526666666666667,107.02,125.58,39.39,0.43,0.434,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_3_0018,test,3,2017-01-21,2017-01-27,2017-01-23,2017-01-25,2017-01-23,DJF,2017,1,7,3,2.3636340807174827,9.95585650224215,21.459390134529144,0.0,0.6500000000000178,90.56,0.0,-16.47142857142857,-11.446666666666667,146.41,148.71285714285713,2.3799999999999955,0.42,0.4293333333333333,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_3_0019,test,3,2017-01-29,2017-02-02,2017-01-31,2017-01-31,2017-01-31,DJF,2017,1,5,1,2.3636340807174827,4.567318385650224,6.406062780269058,22.93000000000002,22.930000000000017,106.18,30.05,-9.385714285714288,-12.87,148.79,150.47,10.29000000000002,0.42,0.425,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_3_0020,test,3,2017-02-05,2017-02-11,2017-02-07,2017-02-09,2017-02-09,DJF,2017,2,7,2,2.3636340807174827,2.654313901345291,8.405434977578475,2.740000000000021,17.060000000000016,88.22,14.399999999999999,-5.242857142857146,-10.31,178.19,187.6942857142857,16.55000000000001,0.42,0.422,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,False,True,False,False
test_3_0021,test,3,2017-02-26,2017-03-02,2017-02-28,2017-02-28,2017-02-28,DJF,2017,2,5,1,2.3636340807174827,4.530188340807175,9.099766816143498,13.600000000000023,24.590000000000018,97.62,22.990000000000002,-3.1142857142857174,-4.569999999999999,214.15,227.3685714285714,19.389999999999986,0.41,0.414,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_3_0022,test,3,2017-03-02,2017-03-11,2017-03-04,2017-03-09,2017-03-06,MAM,2017,3,10,3,2.3636340807174827,4.450278026905829,19.779336322869952,29.66000000000002,52.58000000000002,103.35000000000001,103.15,-4.014285714285718,-4.723333333333334,230.05,252.64142857142858,42.72999999999996,0.41,0.412,0.44,0.46,0.27,536.299,rainfall_runoff,mixed_rainfall_runoff,False,True,True,False,False
test_3_0023,test,3,2017-05-27,2017-06-03,2017-05-29,2017-06-01,2017-05-30,MAM,2017,5,8,3,2.3636340807174827,3.673614349775784,16.816358744394616,7.920000000000025,16.05000000000001,157.44000000000003,28.380000000000003,10.01428571428571,4.826666666666666,204.28,135.15571428571428,-121.42,0.4685714285714286,0.4693333333333333,0.44,0.46,0.27,536.299,snowmelt,warming_snow_transition,False,False,True,True,True
test_3_0024,test,3,2017-07-23,2017-08-02,2017-07-25,2017-07-31,2017-07-26,JJA,2017,7,11,7,2.3636340807174827,4.833686098654708,29.415228699551566,66.01000000000003,91.16000000000001,236.75,91.63999999999999,9.357142857142852,10.573333333333332,0.0,0.04428571428571428,0.29,0.4542857142857143,0.437,0.44,0.46,0.27,536.299,warm_season_short_rain,warm_season_rainfall_intensity,True,True,False,False,True
