split,attribute,target,spearman_rho,n
spatial_test,forest_fra,kge_transformer,0.2367574327781776,50
test,urban_fra,pbias_xgb,0.23306680196762872,100
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
spatial_test,soil_condu,transformer_gain_vs_rf,-0.22850831089158874,50
train,soil_tawc,pbias_transformer,0.22817336723976114,100
spatial_test,soil_condu,tree_advantage,0.22634713518958757,50
spatial_test,soil_condu,sequence_gain_vs_tree,-0.22634713518958757,50
test,soil_condu,kge_transformer,-0.22529945589488742,100
val,urban_fra,kge_rf,-0.22376118018947194,100
spatial_test,area_calc,pbias_rf,0.22208883553421366,50
test,soil_condu,pbias_xgb,0.2214947558166476,100
test,forest_fra,transformer_gain_vs_rf,0.221108090790537,100
train,geol_poros,kge_transformer,-0.22090751189188687,100
test,area_calc,pbias_transformer,0.21564956495649562,100
test,fdc_slope,kge_transformer,0.21461810566584943,100
val,fdc_slope,kge_xgb,-0.21439008217942931,100
test,soil_condu,transformer_gain_vs_rf,0.2133332540715274,100
val,area_calc,kge_transformer,0.2126252625262526,100
val,forest_fra,transformer_gain_vs_rf,0.21214303291225486,100
val,forest_fra,kge_rf,-0.21005478649883974,100
test,bfi,kge_transformer,0.20926171534817445,100
spatial_test,aridity,kge_xgb,-0.20902192576273046,50
test,forest_fra,sequence_gain_vs_tree,0.20881864063342734,100
test,forest_fra,tree_advantage,-0.20881864063342734,100
test,soil_condu,tree_advantage,-0.20872440602722422,100
test,soil_condu,sequence_gain_vs_tree,0.20872440602722422,100
test,soil_tawc,pbias_rf,0.2084626559465603,100
val,geol_perme,pbias_rf,0.20792678713790597,100
test,soil_condu,pbias_rf,0.20711010899087326,100
val,geol_poros,sequence_gain_vs_tree,0.20675539915484953,100
val,geol_poros,tree_advantage,-0.20675539915484953,100
val,geol_poros,transformer_gain_vs_rf,0.2057102091649325,100
spatial_test,bfi,sequence_gain_vs_tree,-0.20527081214292048,49
spatial_test,bfi,tree_advantage,0.20527081214292048,49
spatial_test,forest_fra,pbias_transformer,0.2050617115543242,50
test,area_calc,transformer_gain_vs_rf,-0.205004500450045,100
test,area_calc,tree_advantage,0.20423642364236422,100
test,area_calc,sequence_gain_vs_tree,-0.20423642364236422,100
val,forest_fra,sequence_gain_vs_tree,0.2037660444262563,100
val,forest_fra,tree_advantage,-0.2037660444262563,100
spatial_test,fdc_slope,kge_transformer,-0.2021990357554819,49
spatial_test,frac_snow,transformer_gain_vs_rf,0.2021178945212926,50
test,forest_fra,kge_transformer,-0.20137776260861487,100
val,bfi,kge_transformer,0.19984037750989062,100
test,aridity,kge_transformer,-0.199782094126402,100
spatial_test,frac_snow,sequence_gain_vs_tree,0.19961548249388614,50
spatial_test,frac_snow,tree_advantage,-0.19961548249388614,50
test,soil_condu,pbias_transformer,0.19938668785413086,100
spatial_test,soil_tawc,kge_transformer,-0.1984671157975561,50
val,is_impacted,kge_rf,0.19762182624358965,100
train,frac_snow,pbias_transformer,-0.19739683780001474,100
val,fdc_slope,kge_transformer,0.19728832069791974,100
test,bfi,pbias_xgb,0.19643789435428113,100
spatial_test,area_calc,pbias_transformer,0.19423769507803118,50
spatial_test,forest_fra,pbias_xgb,0.19406425676604783,50
spatial_test,geol_perme,pbias_transformer,0.19308933795836378,50
spatial_test,frac_snow,kge_xgb,0.1927819727267377,50
train,frac_snow,kge_transformer,0.19216977193831902,100
val,soil_tawc,pbias_transformer,0.19044229661724799,100
spatial_test,geol_poros,pbias_xgb,-0.18613039660574845,50
spatial_test,bfi,transformer_gain_vs_rf,-0.18516723272847588,49
spatial_test,is_impacted,tree_advantage,0.18031363010621473,50
spatial_test,is_impacted,sequence_gain_vs_tree,-0.18031363010621473,50
val,is_impacted,kge_xgb,0.17889975849419698,100
test,forest_fra,pbias_rf,-0.17769296779898994,100
spatial_test,aridity,transformer_gain_vs_rf,-0.17645082356389544,50
spatial_test,forest_fra,pbias_rf,0.17571915751224174,50
test,geol_poros,tree_advantage,-0.17565799353530692,100
test,geol_poros,sequence_gain_vs_tree,0.17565799353530692,100
test,geol_poros,pbias_transformer,-0.1748170360721553,100
test,is_impacted,pbias_xgb,0.17335247916104357,100
val,fdc_slope,sequence_gain_vs_tree,0.1719237081427124,100
val,fdc_slope,tree_advantage,-0.1719237081427124,100
spatial_test,aridity,tree_advantage,0.17025366695084274,50
spatial_test,aridity,sequence_gain_vs_tree,-0.17025366695084274,50
spatial_test,frac_snow,kge_rf,0.1692496750074729,50
test,is_impacted,kge_rf,0.16711178991124598,100
val,urban_fra,kge_transformer,-0.16679876765324514,100
test,geol_poros,transformer_gain_vs_rf,0.16661770080642693,100
val,soil_tawc,kge_rf,-0.16537679178130002,100
train,forest_fra,pbias_transformer,0.16287721953829473,100
test,urban_fra,kge_transformer,-0.16276433034039264,100
spatial_test,soil_tawc,pbias_rf,0.1615418757698713,50
test,is_impacted,pbias_rf,0.1608711006614484,100
val,soil_condu,pbias_transformer,0.1590952740918243,100
test,soil_tawc,pbias_xgb,0.15909230465841426,100
spatial_test,aridity,kge_rf,-0.15704267417107928,50
spatial_test,soil_condu,pbias_transformer,0.15642109469817245,50
spatial_test,is_impacted,pbias_rf,0.15534712747612348,50
val,is_impacted,pbias_xgb,0.15532382132829503,100
test,bfi,pbias_transformer,0.15502001297859,100
spatial_test,urban_fra,pbias_rf,0.15442996165446876,50
spatial_test,bfi,pbias_xgb,0.15439957184799338,49
val,aridity,kge_transformer,-0.15375242451474458,100
spatial_test,is_impacted,transformer_gain_vs_rf,-0.15257307162833553,50
test,fdc_slope,kge_rf,0.1520436604977155,100
train,fdc_slope,kge_transformer,0.15144359869134677,100
val,frac_snow,pbias_transformer,-0.15052147245179637,100
test,is_impacted,pbias_transformer,0.14977654199514165,100
spatial_test,urban_fra,kge_transformer,-0.14957850718258653,50
spatial_test,soil_condu,kge_rf,0.14782441801687896,50
spatial_test,is_impacted,kge_rf,0.1470249599327597,50
spatial_test,bfi,pbias_rf,0.1467969491760334,49
spatial_test,frac_snow,pbias_rf,-0.14610236375396296,50
val,is_impacted,pbias_rf,0.14492267257863242,100
spatial_test,bfi,kge_transformer,0.14434778214077107,49
test,urban_fra,kge_xgb,-0.14202179921553348,100
spatial_test,geol_perme,pbias_rf,0.14106302331903395,50
val,fdc_slope,transformer_gain_vs_rf,0.13920233784142413,100
spatial_test,urban_fra,pbias_xgb,0.13853064056344883,50
val,urban_fra,kge_xgb,-0.13762714428546202,100
val,forest_fra,kge_transformer,-0.13643209900978776,100
test,soil_tawc,kge_xgb,-0.1362604792033191,100
test,is_impacted,kge_transformer,0.13590834366225818,100
val,forest_fra,pbias_transformer,0.1355499949213624,100
spatial_test,urban_fra,pbias_transformer,0.13324687826733947,50
spatial_test,soil_tawc,kge_rf,0.13110154028177992,50
test,forest_fra,kge_xgb,-0.12935726417813137,100
test,bfi,pbias_rf,0.1283942320942172,100
spatial_test,soil_tawc,pbias_xgb,0.12819785168196196,50
val,soil_tawc,kge_transformer,-0.12813471583405467,100
spatial_test,area_calc,kge_transformer,0.12777911164465786,50
test,forest_fra,pbias_xgb,-0.12759905670936517,100
spatial_test,soil_condu,kge_xgb,0.1263087132502897,50
val,geol_perme,pbias_xgb,0.12514551806724908,100
spatial_test,geol_poros,pbias_rf,-0.12490392480721411,50
spatial_test,fdc_slope,pbias_rf,-0.12265619024884644,49
spatial_test,geol_perme,transformer_gain_vs_rf,0.1215712033107744,50
test,soil_tawc,tree_advantage,-0.11721383475307444,100
test,soil_tawc,sequence_gain_vs_tree,0.11721383475307444,100
test,urban_fra,kge_rf,-0.11399086496894378,100
spatial_test,soil_condu,kge_transformer,-0.1133896851649939,50
test,soil_tawc,transformer_gain_vs_rf,0.11292758513035696,100
test,soil_tawc,pbias_transformer,0.11226351828740073,100
test,frac_snow,pbias_rf,-0.11224372922781542,100
test,soil_tawc,kge_rf,-0.11138212047765882,100
train,is_impacted,kge_transformer,0.11025217674642371,100
spatial_test,geol_perme,kge_xgb,0.10953921565135492,50
val,forest_fra,kge_xgb,-0.10883484252905173,100
spatial_test,geol_perme,tree_advantage,-0.10857665663860136,50
spatial_test,geol_perme,sequence_gain_vs_tree,0.10857665663860136,50
test,frac_snow,pbias_xgb,-0.10663815170027277,100
test,is_impacted,kge_xgb,0.10331807757998196,100
val,geol_poros,pbias_xgb,-0.10251271475818308,100
val,urban_fra,tree_advantage,-0.10240986857535382,100
val,urban_fra,sequence_gain_vs_tree,0.10240986857535382,100
spatial_test,fdc_slope,pbias_xgb,-0.09959437743999512,49
val,area_calc,pbias_transformer,0.09945394539453944,100
spatial_test,bfi,pbias_transformer,-0.09914024061488802,49
