split,attribute,target,spearman_rho,n
spatial_test,frac_snow,kge_transformer,0.24263772004198986,50
test,aridity,pbias_xgb,0.240450540969935,100
test,forest_fra,kge_rf,-0.2380300875889009,100
test,area_calc,transformer_gain_vs_rf,-0.23542754275427538,100
val,geol_perme,pbias_transformer,0.23429250714755984,100
test,urban_fra,pbias_xgb,0.23306680196762872,100
train,fdc_slope,kge_transformer,0.2324399413150015,100
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
test,area_calc,sequence_gain_vs_tree,-0.22905490549054902,100
test,area_calc,tree_advantage,0.22905490549054902,100
val,fdc_slope,tree_advantage,-0.22713539494670168,100
val,fdc_slope,sequence_gain_vs_tree,0.22713539494670168,100
spatial_test,frac_snow,transformer_gain_vs_rf,0.22656453509672514,50
val,forest_fra,tree_advantage,-0.22622069407855333,100
val,forest_fra,sequence_gain_vs_tree,0.22622069407855333,100
test,urban_fra,kge_transformer,-0.2261326128361635,100
train,frac_snow,pbias_transformer,0.22607360257917988,100
spatial_test,soil_condu,transformer_gain_vs_rf,-0.2248583252615423,50
test,frac_snow,pbias_transformer,0.2246316533759535,100
val,urban_fra,kge_rf,-0.22376118018947194,100
val,urban_fra,pbias_transformer,-0.22349702060351137,100
spatial_test,area_calc,pbias_rf,0.22208883553421366,50
spatial_test,bfi,transformer_gain_vs_rf,-0.22164961669123703,49
test,soil_condu,pbias_xgb,0.2214947558166476,100
spatial_test,aridity,transformer_gain_vs_rf,-0.21714068132556694,50
val,frac_snow,transformer_gain_vs_rf,-0.2169112170170121,100
val,fdc_slope,kge_xgb,-0.21439008217942931,100
val,forest_fra,kge_rf,-0.21005478649883974,100
spatial_test,aridity,kge_xgb,-0.20902192576273046,50
test,soil_tawc,pbias_rf,0.2084626559465603,100
test,urban_fra,pbias_transformer,-0.20818777187170506,100
val,geol_perme,pbias_rf,0.20792678713790597,100
spatial_test,geol_perme,pbias_transformer,0.20738333929775413,50
test,soil_condu,pbias_rf,0.20711010899087326,100
train,is_impacted,pbias_transformer,-0.2024756956600989,100
val,is_impacted,kge_rf,0.19762182624358965,100
test,bfi,pbias_xgb,0.19643789435428113,100
val,fdc_slope,transformer_gain_vs_rf,0.19576416370974312,100
spatial_test,forest_fra,pbias_xgb,0.19406425676604783,50
