model,split,ID,obs_q_mean,sim_q_mean,err_q_mean,abs_err_q_mean,obs_runoff_ratio,sim_runoff_ratio,err_runoff_ratio,abs_err_runoff_ratio,obs_fdc_slope,sim_fdc_slope,err_fdc_slope,abs_err_fdc_slope,obs_baseflow_index,sim_baseflow_index,err_baseflow_index,abs_err_baseflow_index,obs_hfd_mean,sim_hfd_mean,err_hfd_mean,abs_err_hfd_mean,obs_q05,sim_q05,err_q05,abs_err_q05,obs_q95,sim_q95,err_q95,abs_err_q95,obs_high_q_freq,sim_high_q_freq,err_high_q_freq,abs_err_high_q_freq,obs_high_q_dur,sim_high_q_dur,err_high_q_dur,abs_err_high_q_dur,obs_low_q_freq,sim_low_q_freq,err_low_q_freq,abs_err_low_q_freq,obs_low_q_dur,sim_low_q_dur,err_low_q_dur,abs_err_low_q_dur,obs_zero_q_freq,sim_zero_q_freq,err_zero_q_freq,abs_err_zero_q_freq
transformer,val,150,0.9500809926486211,1.0143844198312733,0.06430342718265214,0.06430342718265214,0.26880673502350544,0.2870001253192139,0.018193390295708434,0.018193390295708434,2.6278071093644098,1.8042115090422706,-0.8235956003221392,0.8235956003221392,0.26222460655651053,0.30542532889118595,0.04320072233467542,0.04320072233467542,,,,,0.1470901287553648,0.17746910661332577,0.030378977857960954,0.030378977857960954,3.4609442060085835,2.578509824474221,-0.8824343815343627,0.8824343815343627,0.05115511551155116,0.05115511551155116,0.0,0.0,1.9375,2.2142857142857144,0.2767857142857144,0.2767857142857144,0.054455445544554455,0.05115511551155116,-0.0033003300330032986,0.0033003300330032986,3.0,5.166666666666667,2.166666666666667,2.166666666666667,0.0,0.0,0.0,0.0
transformer,val,154,1.37516757669575,1.3780177441959316,0.002850167500181522,0.002850167500181522,0.3347543281611286,0.33544813880852803,0.0006938106473994288,0.0006938106473994288,1.2658090370048365,1.239458300803418,-0.02635073620141859,0.02635073620141859,0.5757719851580743,0.5988589435046706,0.023086958346596353,0.023086958346596353,,,,,0.6133764705882352,0.592190475978277,-0.02118599460995818,0.02118599460995818,3.39336,3.3161031370785143,-0.07725686292148559,0.07725686292148559,0.051036682615629984,0.051036682615629984,0.0,0.0,3.2,3.5555555555555554,0.3555555555555552,0.3555555555555552,0.051036682615629984,0.051036682615629984,0.0,0.0,3.2,4.0,0.7999999999999998,0.7999999999999998,0.0,0.0,0.0,0.0
transformer,val,163,1.8940358208955221,1.7790883734049079,-0.11494744749061425,0.11494744749061425,0.572027106215812,0.5373112602800887,-0.0347158459357233,0.0347158459357233,0.9861394293444509,0.9723160975669328,-0.013823331777518044,0.013823331777518044,0.5260603947750836,0.5502331842495504,0.02417278947446677,0.02417278947446677,,,,,0.8179200000000001,0.754844089429783,-0.06307591057021711,0.06307591057021711,4.542119999999991,4.0203098316563,-0.5218101683436904,0.5218101683436904,0.05140961857379768,0.05140961857379768,0.0,0.0,1.55,2.066666666666667,0.5166666666666668,0.5166666666666668,0.05140961857379768,0.05140961857379768,0.0,0.0,2.5833333333333335,4.428571428571429,1.8452380952380953,1.8452380952380953,0.0,0.0,0.0,0.0
transformer,val,177,1.1188700267933875,1.0658575859070814,-0.05301244088630619,0.05301244088630619,0.4269417114265005,0.40671306851275546,-0.020228642913745043,0.020228642913745043,2.3752840667598707,1.6936124047929908,-0.6816716619668799,0.6816716619668799,0.28214656037228764,0.33532693235795513,0.053180371985667496,0.053180371985667496,,,,,0.1560916030534351,0.21390041199389484,0.05780880894045973,0.05780880894045973,3.918888549618323,3.4054854958662966,-0.5134030537520262,0.5134030537520262,0.05132450331125828,0.05132450331125828,0.0,0.0,1.4090909090909092,2.2142857142857144,0.8051948051948052,0.8051948051948052,0.054635761589403975,0.05132450331125828,-0.0033112582781456984,0.0033112582781456984,2.2,2.8181818181818183,0.6181818181818182,0.6181818181818182,0.0,0.0,0.0,0.0
transformer,val,182,1.415899950896561,1.3738896503682607,-0.04201030052830035,0.04201030052830035,0.5490184419116989,0.5327288518699131,-0.016289590041785762,0.016289590041785762,2.228293182306861,1.7750788547568965,-0.4532143275499645,0.4532143275499645,0.4629794073455123,0.47559944422738176,0.012620036881869467,0.012620036881869467,,,,,0.4060627372627373,0.38798790830139146,-0.018074828961345824,0.018074828961345824,4.167721078921072,3.90934143222703,-0.25837964669404156,0.25837964669404156,0.05084745762711865,0.05084745762711865,0.0,0.0,2.727272727272727,3.3333333333333335,0.6060606060606064,0.6060606060606064,0.05084745762711865,0.05084745762711865,0.0,0.0,2.5,3.0,0.5,0.5,0.0,0.0,0.0,0.0
transformer,val,194,1.4469170980010866,1.3757293464038214,-0.0711877515972652,0.0711877515972652,0.4789415081172326,0.45537777446824124,-0.023563733648991336,0.023563733648991336,1.450818153997277,1.6004858046715784,0.14966765067430132,0.14966765067430132,0.32348229599937356,0.4225442031272837,0.09906190712791013,0.09906190712791013,,,,,0.3217685950413223,0.3561899037595775,0.03442130871825516,0.03442130871825516,4.71799338842975,4.289965832780855,-0.42802755564889416,0.42802755564889416,0.050173010380622836,0.050173010380622836,0.0,0.0,1.7058823529411764,2.6363636363636362,0.9304812834224598,0.9304812834224598,0.050173010380622836,0.050173010380622836,0.0,0.0,4.833333333333333,2.0714285714285716,-2.7619047619047614,2.7619047619047614,0.0,0.0,0.0,0.0
transformer,val,234,3.2606483917252778,3.2660236156297557,0.005375223904477977,0.005375223904477977,0.7627411523713241,0.763998541694736,0.001257389323411906,0.001257389323411906,1.8400513019050053,1.5488997112171505,-0.2911515906878548,0.2911515906878548,0.5124118407003464,0.5782225840106341,0.06581074331028769,0.06581074331028769,,,,,1.1974451772903074,1.2367565307735668,0.039311353483259426,0.039311353483259426,6.827362640607012,6.173156964060896,-0.6542056765461162,0.6542056765461162,0.05008347245409015,0.05008347245409015,0.0,0.0,1.875,2.142857142857143,0.2678571428571428,0.2678571428571428,0.05008347245409015,0.05008347245409015,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0
transformer,val,241,0.8796008600253598,0.8664337700988954,-0.013167089926464315,0.013167089926464315,0.34034857449463213,0.33525376332472767,-0.005094811169904456,0.005094811169904456,2.2998702957667554,1.9787545890405476,-0.3211157067262078,0.3211157067262078,0.4413918415320831,0.4534858778302985,0.012094036298215372,0.012094036298215372,,,,,0.22595988753514526,0.21722383645384463,-0.008736051081300628,0.008736051081300628,2.5203373945641983,2.5660028809561863,0.045665486391988086,0.045665486391988086,0.05065359477124183,0.05065359477124183,0.0,0.0,1.9375,2.2142857142857144,0.2767857142857144,0.2767857142857144,0.05065359477124183,0.05065359477124183,0.0,0.0,2.8181818181818183,3.1,0.28181818181818175,0.28181818181818175,0.0,0.0,0.0,0.0
transformer,val,256,2.037184018735363,2.1562637454573768,0.11907972672201383,0.11907972672201383,0.539827216085157,0.5713817918020975,0.031554575716940425,0.031554575716940425,1.162147043982,1.5074238275366214,0.3452767835546213,0.3452767835546213,0.5868975863006827,0.5332424847950321,-0.05365510150565056,0.05365510150565056,,,,,0.779436,0.6889776591049294,-0.09045834089507065,0.09045834089507065,5.517303428571423,5.983250699663235,0.465947271091812,0.465947271091812,0.05081967213114754,0.05081967213114754,0.0,0.0,2.3846153846153846,3.4444444444444446,1.05982905982906,1.05982905982906,0.05081967213114754,0.05081967213114754,0.0,0.0,7.75,6.2,-1.5499999999999998,1.5499999999999998,0.0,0.0,0.0,0.0
transformer,val,257,3.055487715294126,3.0855618070238373,0.030074091729711316,0.030074091729711316,0.7065753304039425,0.7135299030550304,0.006954572651087898,0.006954572651087898,3.3966308418391082,2.9494326008916816,-0.44719824094742666,0.44719824094742666,0.2775404353204169,0.33335761207100884,0.055817176750591946,0.055817176750591946,,,,,0.2938558225508318,0.3192095126509225,0.025353690100090698,0.025353690100090698,11.094654343807765,11.684840989093038,0.5901866452852733,0.5901866452852733,0.051756007393715345,0.051756007393715345,0.0,0.0,1.75,2.5454545454545454,0.7954545454545454,0.7954545454545454,0.053604436229205174,0.051756007393715345,-0.0018484288354898293,0.0018484288354898293,9.666666666666666,7.0,-2.666666666666666,2.666666666666666,0.0,0.0,0.0,0.0
