model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
xlstm,1,6,0.0001872724133595217,0.337437611628086,0.2574748054265976,1,0.2574748054265976,0,256,60000,60000,nse,1.0,True
xlstm,2,6,0.00015250000000000002,0.19844506703158643,0.2394604646364848,2,0.2394604646364848,0,256,60000,60000,nse,1.0,True
xlstm,3,6,0.000105,0.17294203493189306,0.21471789232889812,3,0.21471789232889812,0,256,60000,60000,nse,1.0,True
xlstm,4,6,5.750000000000002e-05,0.15714088339120783,0.21267009105682372,4,0.21267009105682372,0,256,60000,60000,nse,1.0,True
xlstm,5,6,2.2727586640478323e-05,0.14553886835879468,0.21125110994180044,5,0.21125110994180044,0,256,60000,60000,nse,1.0,True
xlstm,6,6,1e-05,0.13797828282447572,0.20902007474104564,6,0.20902007474104564,0,256,60000,60000,nse,1.0,True
