model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
transformer,1,16,0.0001981746016383069,0.24826054999441988,0.21917736816371772,1,0.21917736816371772,0,256,240000,145903,nse,1.0,True
transformer,2,16,0.00019276855558857225,0.165742067028401,0.22042793065615304,1,0.21917736816371772,1,256,240000,145903,nse,1.0,True
transformer,3,16,0.00018398961316874182,0.14646492347216555,0.19487972416369578,3,0.19487972416369578,0,256,240000,145903,nse,1.0,True
transformer,4,16,0.000172175144212722,0.13615269089208992,0.19481221996749995,4,0.19481221996749995,0,256,240000,145903,nse,1.0,True
transformer,5,16,0.0001577791721368622,0.1271033278152124,0.2285458050456778,4,0.19481221996749995,1,256,240000,145903,nse,1.0,True
transformer,6,16,0.00014135492607468352,0.11965634302099122,0.2018487686700434,4,0.19481221996749995,2,256,240000,145903,nse,1.0,True
transformer,7,16,0.0001235335805915322,0.11321066637664462,0.19187290335006624,7,0.19187290335006624,0,256,240000,145903,nse,1.0,True
transformer,8,16,0.000105,0.10824454814465696,0.18651927780760413,8,0.18651927780760413,0,256,240000,145903,nse,1.0,True
transformer,9,16,8.646641940846783e-05,0.10348586221017055,0.20014204700649238,8,0.18651927780760413,1,256,240000,145903,nse,1.0,True
transformer,10,16,6.864507392531649e-05,0.09967619392361596,0.18867760550725537,8,0.18651927780760413,2,256,240000,145903,nse,1.0,True
transformer,11,16,5.222082786313782e-05,0.09549145083596457,0.19461005046195362,8,0.18651927780760413,3,256,240000,145903,nse,1.0,True
transformer,12,16,3.7824855787278e-05,0.09252201511200939,0.20042119002069003,8,0.18651927780760413,4,256,240000,145903,nse,1.0,True
transformer,13,16,2.6010386831258198e-05,0.09031376928917126,0.18778190035456846,8,0.18651927780760413,5,256,240000,145903,nse,1.0,True
transformer,14,16,1.7231444411427765e-05,0.08841204481211298,0.18909747542827118,8,0.18651927780760413,6,256,240000,145903,nse,1.0,True
transformer,15,16,1.182539836169311e-05,0.08688046455160896,0.19504166190849234,8,0.18651927780760413,7,256,240000,145903,nse,1.0,True
transformer,16,16,1e-05,0.08604962573742181,0.1921391963810038,8,0.18651927780760413,8,256,240000,145903,nse,1.0,True
