model,feature,importance
random_forest,total_et_sum_7,0.0013363207543359793
random_forest,swe_mean_14,0.0013351539822075696
random_forest,volsw_4_mean_7,0.0013292460852562611
random_forest,2m_temp_mean_lag_7,0.0013048501320452538
random_forest,total_et_sum_60,0.0013046615654241404
random_forest,gc_pa_fra,0.00128753151266986
random_forest,elev_med,0.0012553377181819781
random_forest,10m_wind_v,0.0012426544090843607
random_forest,2m_dp_temp_min,0.0012346615120005717
random_forest,surf_press,0.001227408442248945
random_forest,surf_net_solar_rad_mean_mean_7,0.0012193010185653846
random_forest,total_et,0.0012005420259894267
random_forest,gc_mt_fra,0.001192490626630656
random_forest,geol_perme,0.0011905491338294728
random_forest,total_et_sum_14,0.0011882800522856336
random_forest,gc_sc_fra,0.0011673009586705193
random_forest,hi_prec_du,0.001157334324661323
random_forest,total_et_sum_1,0.001131521504873222
random_forest,geol_poros,0.001092712521649625
random_forest,bare_fra,0.0010831374289850383
random_forest,total_et_sum_30,0.001080930801496217
random_forest,surf_net_therm_rad_max,0.0010769608600563832
random_forest,elev_ran,0.0010476287727014186
random_forest,soil_tawc,0.0010303002497871736
random_forest,volsw_4_mean_3,0.0010222649784109885
random_forest,swe_mean_7,0.001015440896145878
random_forest,2m_temp_mean,0.0009923071233545078
random_forest,2m_temp_min,0.0009707824341636589
random_forest,surf_net_therm_rad_mean_mean_1,0.0009597332868694906
random_forest,2m_temp_mean_mean_1,0.0009424256741326004
random_forest,surf_net_solar_rad_max,0.0009281887704110544
random_forest,surf_net_therm_rad_mean,0.0009078006353971633
random_forest,2m_temp_min_mean_1,0.0008408495386013524
random_forest,2m_temp_max_mean_1,0.0008223427545647518
random_forest,2m_temp_max,0.000799516518265122
random_forest,surf_net_solar_rad_mean_mean_1,0.0007587592440476767
random_forest,surf_net_solar_rad_mean,0.0007410004851319968
random_forest,swe_mean_3,0.0007326137699211253
random_forest,volsw_4,0.0006479322298294424
random_forest,gc_sm_fra,0.0006109414239711135
random_forest,soil_poros,0.0005883763789296883
random_forest,volsw_4_mean_1,0.0005791122863836031
random_forest,volsw_123_lag_7,0.0005700465011461978
random_forest,swe_lag_1,0.0005228502037866332
random_forest,swe,0.0004531866933073207
random_forest,swe_mean_1,0.00043054159421883673
random_forest,gaps_pre,0.0003213396405491109
random_forest,gc_su_fra,0.00028423083055490286
random_forest,gc_wb_fra,0.0002818896899424733
random_forest,gc_ig_fra,0.0002511900043374219
random_forest,gaps_post,0.00024067531700148074
random_forest,gc_vb_fra,0.00023325660113122874
random_forest,is_impacted,0.00016784084043273425
random_forest,gc_va_fra,0.00014401078560196166
random_forest,gc_ss_fra,0.00012419073795671604
random_forest,diur_art,5.982137440382325e-05
random_forest,diur_glac,1.145920997578981e-05
random_forest,gc_pb_fra,9.23017999259675e-06
random_forest,gc_py_fra,8.91179071455827e-06
random_forest,gc_pi_fra,1.2540457239424933e-06
random_forest,has_transfer,0.0
random_forest,transfer_count,0.0
xgboost,arid_1,0.138417586684227
xgboost,p_mean,0.12346501648426056
xgboost,arid_2,0.07542642205953598
xgboost,lo_prec_fr,0.04287731647491455
xgboost,ndvi_min,0.027058757841587067
xgboost,swe_delta_30,0.024249669164419174
xgboost,2m_temp_mean_mean_3,0.021500363945961
xgboost,volsw_123_mean_1,0.02130732499063015
xgboost,prec_sum_60,0.019553791731595993
xgboost,strm_dens,0.019232667982578278
xgboost,volsw_123,0.017850439995527267
xgboost,swe_delta_7,0.016976969316601753
xgboost,prec_sum_30,0.01667044311761856
xgboost,forest_fra,0.010452893562614918
xgboost,2m_temp_mean_mean_7,0.009842803701758385
xgboost,prec_sum_14,0.009165345691144466
xgboost,swe_mean_90,0.008239096030592918
xgboost,lake_fra,0.007673452142626047
xgboost,elev_mean,0.007214242592453957
xgboost,lo_prec_du,0.007104284595698118
xgboost,elev_med,0.006800287868827581
xgboost,prec_sum_3,0.006778152659535408
xgboost,volsw_4_mean_1,0.00677192397415638
xgboost,lai_max,0.006412666290998459
xgboost,et0_mean,0.006339969579130411
xgboost,prec_sum_7,0.006155777722597122
xgboost,volsw_4_mean_180,0.005818991921842098
xgboost,eta_mean,0.005677009932696819
xgboost,2m_temp_max_mean_180,0.005653099622577429
xgboost,bedrk_dep,0.005560177378356457
xgboost,surf_net_therm_rad_mean_mean_90,0.005244786385446787
xgboost,frac_snow,0.005042331293225288
xgboost,hi_prec_fr,0.005011906381696463
xgboost,swe_mean_60,0.00478757731616497
xgboost,agr_fra,0.004672435112297535
xgboost,geol_poros,0.004512076731771231
xgboost,geol_perme,0.004428935702890158
xgboost,elev_std,0.004100339021533728
xgboost,mvert_ang,0.004016358871012926
xgboost,gc_pa_fra,0.0038494509644806385
xgboost,p_season,0.0038136441726237535
xgboost,lai_diff,0.00378536363132298
xgboost,volsw_4_mean_3,0.003784157568588853
xgboost,sand_fra,0.0037660698872059584
xgboost,swe_mean_14,0.0037538642063736916
xgboost,volsw_4_mean_365,0.0036909289192408323
xgboost,prec_sum_90,0.003657062305137515
xgboost,area_gov,0.0036501511931419373
xgboost,surf_net_therm_rad_mean_mean_180,0.0036258099135011435
xgboost,volsw_4,0.0036231502890586853
xgboost,mvert_dist,0.0035819874610751867
