model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
transformer,1,6,0.00046818103339880425,0.3484923810400861,0.26092867585023244,1,0.26092867585023244,0,256,60000,60000,nse,1.0,True
transformer,2,6,0.00038125,0.22826134131309833,0.27086646508375806,1,0.26092867585023244,1,256,60000,60000,nse,1.0,True
transformer,3,6,0.0002625,0.19352589496906766,0.2247575798670451,3,0.2247575798670451,0,256,60000,60000,nse,1.0,True
transformer,4,6,0.00014375000000000005,0.17167290918370512,0.20267421952883402,4,0.20267421952883402,0,256,60000,60000,nse,1.0,True
transformer,5,6,5.681896660119581e-05,0.15671315776540878,0.20637521955172222,4,0.20267421952883402,1,256,60000,60000,nse,1.0,True
transformer,6,6,2.5e-05,0.14674665503045345,0.1944006481250127,6,0.1944006481250127,0,256,60000,60000,nse,1.0,True
