model,split,ID,nse,kge,rmse,mae,pbias,log_nse,n
random_forest,spatial_test,50,0.5848067607126064,0.42735435568392255,1.081522410653659,0.6558765858581845,-23.412012728467307,0.6954941228641973,1461
random_forest,spatial_test,75,0.6569984903411403,0.8177599657497047,1.1393551621594427,0.7756191156115836,8.399685477118805,0.6931361017024544,1461
random_forest,spatial_test,89,0.2927550932937766,0.4759824770915141,2.0852342804934296,1.6112680066792051,46.1883549262154,0.27143900256708087,1461
random_forest,spatial_test,91,0.4628739702108573,0.5235106669123617,2.128605101573938,1.22711686294421,8.040679521495973,0.5497646753506296,1461
random_forest,spatial_test,93,0.579628815654647,0.5775627036788591,1.8628483902899087,0.9616247376077315,-18.114370991576113,0.7383409745862589,1461
random_forest,spatial_test,106,0.708513936935243,0.736591613072493,1.1245163009220733,0.7337265125518814,3.698004646237488,0.7593035292038185,1461
random_forest,spatial_test,133,0.3049830190361861,0.3814376846899249,2.927032392599901,1.9550320424816168,27.974951213160285,0.2507680554145014,1461
random_forest,spatial_test,147,0.11099500798555262,0.44224492443132535,1.9997268066194165,1.5599745202052735,39.98335229026638,0.0030748030160786533,1461
random_forest,spatial_test,183,0.5359858476558268,0.43265575803788514,1.044525095393454,0.4463901953491205,-19.36478150673383,0.6833161240922286,1459
random_forest,spatial_test,185,0.5610339705198373,0.6595649861093615,0.5061386396095006,0.2852152910816039,2.4561980240105044,0.6259929978955046,1461
random_forest,spatial_test,191,0.36439652380238585,0.3227798281230412,1.303298855702878,0.47727727833188505,5.538085275408893,0.5386909471448073,1461
random_forest,spatial_test,204,0.3430820119541137,0.3021540140002532,3.3486637733284903,2.118467707351929,-20.301540703787097,0.5382865652868177,1461
random_forest,spatial_test,216,0.4470248036946435,0.4189195328790212,1.7543031488745153,1.0399176654450513,-26.233431512751167,0.5451612136594515,1461
random_forest,spatial_test,219,0.54339720562169,0.5231273446717586,1.4143699986883826,0.5700372344646141,-11.997563561484954,0.650666849407566,1461
random_forest,spatial_test,262,0.3656236805586681,0.30360407681622725,3.6384415722169536,1.4320123598928995,-18.284570989464516,0.5090621351672542,1461
random_forest,spatial_test,282,0.3326456720317005,0.21755356946568483,2.3438515214263185,0.842371548841234,-21.583305247441245,0.5562359346441833,1461
random_forest,spatial_test,284,0.495935122771315,0.5483974523765286,0.4345898860085933,0.30193795334076745,27.576218206506137,0.4127819241536178,1461
random_forest,spatial_test,323,0.7081834954263858,0.7392019927392568,0.3372481558795369,0.2640565131280859,9.281616746734809,0.6986021924908817,1461
random_forest,spatial_test,329,0.07737360036977015,0.2309401726939806,1.1285781272073543,0.6408902665468897,-39.70677856078391,-0.8976600697512724,1461
random_forest,spatial_test,331,0.13666194941887577,0.046155710914004056,1.8990141086483712,0.6118812054970529,-38.56696499412992,0.10917736533302069,1461
random_forest,spatial_test,375,-38.75377191419483,-0.14286717643154123,0.7661099430298227,0.7526709892742569,-86.37782329295713,-69.51953989269187,1461
random_forest,spatial_test,376,-44.139420895653984,-0.03196182005996473,0.6813297665148098,0.6714699865624852,-84.98672365229532,-74.07808222121322,1461
random_forest,spatial_test,393,0.32001181049825744,0.5547543132191366,0.11256330034998467,0.07700809259016121,37.29930969580843,0.3442695491526422,1461
random_forest,spatial_test,397,0.2783109441333017,0.5853458955004602,0.13878250117952992,0.08611307483607386,28.817386487102596,0.44159866810667214,1461
random_forest,spatial_test,406,0.331425098057644,0.5853105396703602,0.411727769076649,0.2947144370290669,12.019618418934304,0.3103136487217588,1461
random_forest,spatial_test,431,-0.8004960630102729,0.0803036215820091,0.2695009858048439,0.16024103980328047,62.623539934843194,-0.7429899251926393,1461
random_forest,spatial_test,450,0.3274418772888502,0.31629232949873987,0.6999983593620753,0.28859907400019463,-8.804287562565591,0.4820790866601813,1461
random_forest,spatial_test,499,0.5791190098791461,0.7872332186274028,0.48183377982038056,0.3219538083565629,9.872783257729775,0.6646160087384028,1461
random_forest,spatial_test,523,0.46503110061550756,0.426549280166873,0.7577355120875265,0.2532609423289112,-9.806467646910288,0.6701277368938106,1461
random_forest,spatial_test,525,0.5764941156585464,0.7556704555275384,0.91296614233292,0.5821543911592536,11.42181319191943,0.6742261724586529,1461
random_forest,spatial_test,580,-0.300837676519526,0.49916998074993824,0.5291204834733848,0.4094986995946931,36.82043478353608,-0.22389663554715655,1461
random_forest,spatial_test,596,0.31149719410160115,0.5052710419655237,0.944195949637399,0.7021958283179294,24.36709345267321,0.26538301948115595,1461
random_forest,spatial_test,612,0.6491539472855233,0.7088171854591409,0.30856057751868987,0.21679123859246605,-0.7358813831694009,0.6715930014687128,1459
random_forest,spatial_test,667,0.5859362287685206,0.5611657988290191,0.691158214635025,0.46838740579787946,19.978256072471293,0.4959592391354647,1433
random_forest,spatial_test,671,0.6000036685404138,0.6053197998734219,0.7510313787931687,0.38898047027754645,4.6143083814700585,0.6533571299558605,1461
random_forest,spatial_test,679,-4.116983700336741,-0.5185009557545168,1.4127894361475208,1.1827570349577732,133.40784095263172,-5.319369944133996,1458
random_forest,spatial_test,684,0.5046355668806425,0.5679655462538483,1.307078150884428,0.8669490738238463,-23.716857796477797,0.43966774234645656,1458
random_forest,spatial_test,691,0.21044956945172233,0.6811884311050564,0.359183767582635,0.27216742664743376,-16.674145188345484,0.19288108864992926,1458
random_forest,spatial_test,699,0.26626813442883557,0.38406384773729185,0.5031882362700594,0.38325201344500315,35.79138002314926,0.021669079430763905,1458
random_forest,spatial_test,717,0.4185421156266883,0.45959588745244584,0.8703861653809208,0.7524382414966538,49.887057798370975,0.19842018035469533,1459
random_forest,spatial_test,748,0.4625162056751887,0.39847516548751294,0.669680955388628,0.36611330089013383,-17.588022560354556,0.5928994068963073,1461
random_forest,spatial_test,758,-3404.4835408597764,-49.80726709777252,0.726466226532964,0.6292838852194209,4227.28277637037,-1692.445675911985,1457
random_forest,spatial_test,806,0.6132075344997587,0.6913070468377974,1.1409478651924854,0.7789942399410874,-16.713459669295926,0.5671988657566677,1461
random_forest,spatial_test,813,0.1004219034190289,0.0398819932063228,4.0583356112757745,2.4490908257851696,-61.27959798838682,0.47552614703102514,1461
