model,split,ID,obs_q_mean,sim_q_mean,err_q_mean,abs_err_q_mean,obs_runoff_ratio,sim_runoff_ratio,err_runoff_ratio,abs_err_runoff_ratio,obs_fdc_slope,sim_fdc_slope,err_fdc_slope,abs_err_fdc_slope,obs_baseflow_index,sim_baseflow_index,err_baseflow_index,abs_err_baseflow_index,obs_hfd_mean,sim_hfd_mean,err_hfd_mean,abs_err_hfd_mean,obs_q05,sim_q05,err_q05,abs_err_q05,obs_q95,sim_q95,err_q95,abs_err_q95,obs_high_q_freq,sim_high_q_freq,err_high_q_freq,abs_err_high_q_freq,obs_high_q_dur,sim_high_q_dur,err_high_q_dur,abs_err_high_q_dur,obs_low_q_freq,sim_low_q_freq,err_low_q_freq,abs_err_low_q_freq,obs_low_q_dur,sim_low_q_dur,err_low_q_dur,abs_err_low_q_dur,obs_zero_q_freq,sim_zero_q_freq,err_zero_q_freq,abs_err_zero_q_freq
random_forest,spatial_test,50,1.8955304337262866,1.4517486073103167,-0.44378182641596986,0.44378182641596986,0.4520320711653251,0.34620226512734475,-0.10582980603798037,0.10582980603798037,2.528618165797733,1.050942856833745,-1.477675308963988,1.477675308963988,0.6744145009812038,0.7800793812708606,0.10566488028965682,0.10566488028965682,163.75,148.5,-15.25,15.25,0.4898391281785158,0.8054647257849574,0.3156255976064416,0.3156255976064416,5.351464452516866,3.3506805980278065,-2.0007838544890593,2.0007838544890593,0.05065023956194387,0.05065023956194387,0.0,0.0,5.285714285714286,8.222222222222221,2.936507936507936,2.936507936507936,0.05065023956194387,0.05065023956194387,0.0,0.0,5.6923076923076925,4.933333333333334,-0.7589743589743589,0.7589743589743589,0.0,0.0,0.0,0.0
random_forest,spatial_test,75,2.832244205916759,3.070143811157687,0.23789960524092812,0.23789960524092812,0.6179801825073653,0.6698885741489086,0.05190839164154326,0.05190839164154326,1.6292716641525815,2.347208427848091,0.7179367636955094,0.7179367636955094,0.7375430467751906,0.6919328276718248,-0.04561021910336571,0.04561021910336571,161.5,150.25,-11.25,11.25,0.9972828146143435,0.9871435850089171,-0.010139229605426459,0.010139229605426459,7.303664411366712,7.195193511418134,-0.1084708999485775,0.1084708999485775,0.05065023956194387,0.05065023956194387,0.0,0.0,5.285714285714286,2.740740740740741,-2.5449735449735447,2.5449735449735447,0.05065023956194387,0.05065023956194387,0.0,0.0,5.285714285714286,4.625,-0.6607142857142856,0.6607142857142856,0.0,0.0,0.0,0.0
random_forest,spatial_test,89,2.586858973305955,3.7816865773371613,1.1948276040312065,1.1948276040312065,0.5245517993728634,0.766833646239051,0.2422818468661876,0.2422818468661876,3.014007803466854,1.5970345896470814,-1.4169732138197724,1.4169732138197724,0.49504244407611037,0.6531456445362525,0.1581032004601421,0.1581032004601421,157.75,131.0,-26.75,26.75,0.42624,1.6176653511218668,1.1914253511218669,1.1914253511218669,7.29216,8.776035587260866,1.483875587260866,1.483875587260866,0.05065023956194387,0.05065023956194387,0.0,0.0,2.0555555555555554,2.3870967741935485,0.33154121863799313,0.33154121863799313,0.0513347022587269,0.05065023956194387,-0.0006844626967830239,0.0006844626967830239,8.333333333333334,6.166666666666667,-2.166666666666667,2.166666666666667,0.0,0.0,0.0,0.0
random_forest,spatial_test,91,3.1466106803298075,3.3996195609242914,0.2530088805944839,0.2530088805944839,0.6312803582311753,0.6820395887186959,0.05075923048752051,0.05075923048752051,1.9494085498201168,1.4361727632120573,-0.5132357866080595,0.5132357866080595,0.542003037351613,0.6901501613828466,0.14814712403123353,0.14814712403123353,139.5,131.75,-7.75,7.75,0.8570271460014673,1.5360647082628036,0.6790375622613363,0.6790375622613363,8.240645634629495,7.091700362691795,-1.1489452719376994,1.1489452719376994,0.05065023956194387,0.05065023956194387,0.0,0.0,1.7619047619047619,2.3870967741935485,0.6251920122887866,0.6251920122887866,0.05065023956194387,0.05065023956194387,0.0,0.0,14.8,6.7272727272727275,-8.072727272727274,8.072727272727274,0.0,0.0,0.0,0.0
random_forest,spatial_test,93,3.513263326388663,2.8768577735356327,-0.6364055528530304,0.6364055528530304,0.7334065452132549,0.6005545627368244,-0.13285198247643049,0.13285198247643049,2.253928908304411,2.146317088350154,-0.10761181995425684,0.10761181995425684,0.5989253332248472,0.6463232961934461,0.047397962968598883,0.047397962968598883,154.5,143.0,-11.5,11.5,0.9997563946406822,0.8845626176479795,-0.11519377699270272,0.11519377699270272,8.447415347137635,6.66733302167983,-1.7800823254578058,1.7800823254578058,0.05065023956194387,0.05065023956194387,0.0,0.0,2.176470588235294,2.5517241379310347,0.37525354969574076,0.37525354969574076,0.05065023956194387,0.05065023956194387,0.0,0.0,6.166666666666667,7.4,1.2333333333333334,1.2333333333333334,0.0,0.0,0.0,0.0
random_forest,spatial_test,106,2.8137242826114353,2.9177759373147185,0.10405165470328326,0.10405165470328326,0.5757663988569315,0.597058267038135,0.021291868181203544,0.021291868181203544,2.210563993849625,1.7662271845745354,-0.44433680927508945,0.44433680927508945,0.5973809007725284,0.6805512665293778,0.08317036575684944,0.08317036575684944,142.0,136.5,-5.5,5.5,0.6771119133574007,1.1213778883405285,0.4442659749831278,0.4442659749831278,6.6835234657039715,6.101685007495944,-0.5818384582080274,0.5818384582080274,0.05065023956194387,0.05065023956194387,0.0,0.0,1.7619047619047619,2.466666666666667,0.7047619047619049,0.7047619047619049,0.05065023956194387,0.05065023956194387,0.0,0.0,9.25,8.222222222222221,-1.0277777777777786,1.0277777777777786,0.0,0.0,0.0,0.0
random_forest,spatial_test,133,3.706451161374443,4.743329065508556,1.036877904134113,1.036877904134113,0.6897607161075939,0.8827209399262382,0.1929602238186443,0.1929602238186443,1.8802937268102955,1.3343800046434902,-0.5459137221668053,0.5459137221668053,0.5341125328661543,0.7581211662362548,0.22400863337010046,0.22400863337010046,137.25,136.0,-1.25,1.25,0.9417490494296579,1.8118798212424432,0.8701307718127853,0.8701307718127853,9.009472243346007,8.103471131961816,-0.9060011113841906,0.9060011113841906,0.05065023956194387,0.05065023956194387,0.0,0.0,1.6444444444444444,2.466666666666667,0.8222222222222224,0.8222222222222224,0.05065023956194387,0.05065023956194387,0.0,0.0,12.333333333333334,4.933333333333334,-7.4,7.4,0.0,0.0,0.0,0.0
random_forest,spatial_test,147,3.0078577673176543,4.210500134814413,1.2026423674967583,1.2026423674967583,0.5718688200346312,0.8005211449872672,0.228652324952636,0.228652324952636,1.5693484844138548,1.1444194036094426,-0.42492908080441216,0.42492908080441216,0.6302109931054112,0.7832463676731519,0.15303537456774075,0.15303537456774075,135.25,138.5,3.25,3.25,1.0385293652883856,1.58807393491633,0.5495445696279444,0.5495445696279444,6.591308928101133,6.7382469498848065,0.146938021783674,0.146938021783674,0.05065023956194387,0.05065023956194387,0.0,0.0,1.8974358974358974,1.9473684210526316,0.04993252361673428,0.04993252361673428,0.05201916495550993,0.05065023956194387,-0.0013689253935660547,0.0013689253935660547,5.066666666666666,6.7272727272727275,1.660606060606061,1.660606060606061,0.0,0.0,0.0,0.0
random_forest,spatial_test,183,1.5969131772573786,1.2876744296292462,-0.3092387476281324,0.3092387476281324,0.5937554346630789,0.47877599205621596,-0.11497944260686294,0.11497944260686294,1.1898774685171118,1.296113399965626,0.10623593144851418,0.10623593144851418,0.6613584424653778,0.7182697447395948,0.056911302274217035,0.056911302274217035,94.75,98.0,3.25,3.25,0.5087463687150837,0.6353482899247885,0.12660192120970482,0.12660192120970482,3.7617442936951306,2.707073320540059,-1.0546709731550719,1.0546709731550719,0.050034270047978065,0.050034270047978065,0.0,0.0,2.5172413793103448,3.0416666666666665,0.5244252873563218,0.5244252873563218,0.050034270047978065,0.050034270047978065,0.0,0.0,8.11111111111111,8.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0
random_forest,spatial_test,185,1.017946820375447,1.0429496100629863,0.02500278968753933,0.02500278968753933,0.39963678063758507,0.40945265134682457,0.009815870709239505,0.009815870709239505,1.5030295014580353,1.398965100836798,-0.10406440062123723,0.10406440062123723,0.6797485157886859,0.7124215982989933,0.03267308251030743,0.03267308251030743,111.5,107.75,-3.75,3.75,0.3721653372008702,0.5157333650393062,0.14356802783843603,0.14356802783843603,2.3463959390862943,2.2399419798831373,-0.10645395920315703,0.10645395920315703,0.05065023956194387,0.05065023956194387,0.0,0.0,2.642857142857143,3.0833333333333335,0.4404761904761907,0.4404761904761907,0.05065023956194387,0.05065023956194387,0.0,0.0,8.222222222222221,5.285714285714286,-2.936507936507936,2.936507936507936,0.0,0.0,0.0,0.0
