model,feature,importance
random_forest,surf_net_solar_rad_mean_mean_14,0.0014052633236367928
random_forest,10m_wind_v,0.0014036763862011153
random_forest,total_et_sum_60,0.0014022032108894642
random_forest,volsw_4_mean_7,0.0013834806449146552
random_forest,2m_temp_mean_mean_60,0.0013732452951584206
random_forest,2m_temp_mean_lag_7,0.0013344188785936817
random_forest,total_et_sum_7,0.0013008110708352674
random_forest,surf_net_therm_rad_max,0.001296224406387375
random_forest,surf_net_solar_rad_mean_mean_30,0.0012732778026963761
random_forest,geol_perme,0.0012659954898885902
random_forest,2m_dp_temp_min,0.0012583141889397186
random_forest,elev_ran,0.0012515177911237613
random_forest,surf_net_solar_rad_mean_mean_7,0.0012467539583166823
random_forest,gc_mt_fra,0.001201145987973685
random_forest,bare_fra,0.0011925829937126744
random_forest,total_et_sum_14,0.001178386891501414
random_forest,surf_net_therm_rad_mean_mean_1,0.0011691104629674173
random_forest,soil_tawc,0.0011582793559669162
random_forest,total_et,0.001133566890811837
random_forest,2m_temp_mean_mean_1,0.0011264404675428844
random_forest,2m_temp_min,0.0011218971637939302
random_forest,surf_net_solar_rad_max,0.0011196854387261945
random_forest,total_et_sum_30,0.0011105780893636364
random_forest,total_et_sum_1,0.0011097771930295005
random_forest,volsw_123_lag_1,0.0011021451110556763
random_forest,2m_temp_mean,0.0010692193403850291
random_forest,surf_net_therm_rad_mean,0.0010616448301252813
random_forest,swe_mean_7,0.0009835092341778425
random_forest,volsw_4_mean_3,0.0009789464597144606
random_forest,2m_temp_max,0.0009674552255597486
random_forest,2m_temp_min_mean_1,0.0009560524158660033
random_forest,elev_mean,0.0009501151113105534
random_forest,surf_net_solar_rad_mean_mean_1,0.0009290299609757583
random_forest,surf_net_solar_rad_mean,0.0009135469963295205
random_forest,2m_temp_max_mean_1,0.0008780147544584791
random_forest,elev_med,0.0007673713779162601
random_forest,volsw_4_mean_1,0.000660070990380052
random_forest,soil_poros,0.0006413971119216197
random_forest,volsw_123_lag_7,0.0006154011857702835
random_forest,gc_sm_fra,0.0006152098382528474
random_forest,swe_mean_3,0.0005612464555911155
random_forest,swe_lag_1,0.00048035211362417287
random_forest,swe_mean_1,0.00046746485494431105
random_forest,volsw_4,0.00046367884514876106
random_forest,swe,0.000437072707668728
random_forest,gc_su_fra,0.00035699874675397016
random_forest,gc_wb_fra,0.0003202943731226401
random_forest,gaps_post,0.0003066019436142586
random_forest,gaps_pre,0.0002594554352016477
random_forest,gc_vb_fra,0.00025475315313321545
random_forest,is_impacted,0.00020254620430955453
random_forest,gc_va_fra,0.00013194178406583128
random_forest,gc_ss_fra,0.0001186429291050334
random_forest,gc_ig_fra,6.566017256502011e-05
random_forest,gc_pb_fra,5.350850655020221e-05
random_forest,diur_art,3.7398171006274296e-05
random_forest,diur_glac,4.7128952707548014e-06
random_forest,gc_py_fra,3.93685661089363e-06
random_forest,gc_pi_fra,1.4856343787519052e-06
random_forest,has_transfer,0.0
random_forest,transfer_count,0.0
xgboost,p_mean,0.10545216500759125
xgboost,prec_sum_60,0.05768830329179764
xgboost,arid_1,0.05357541888952255
xgboost,prec_sum_30,0.04335211217403412
xgboost,arid_2,0.041696324944496155
xgboost,swe_delta_30,0.030549410730600357
xgboost,strm_dens,0.02931448444724083
xgboost,2m_temp_mean_mean_7,0.028605187311768532
xgboost,lo_prec_fr,0.021879903972148895
