split,model,signature,n_basins,median_abs_error,ci_low,ci_high,ci_level,method
test,xgboost,low_q_freq,100,0.0003422313483915,0.0,0.000684462696783,0.95,basin_bootstrap_median
test,xgboost,low_q_dur,100,1.8716666666666666,1.5681350812929757,2.4521230403583343,0.95,basin_bootstrap_median
test,xgboost,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,xlstm,q_mean,100,0.0948011598335881,0.0777555550487204,0.1250283212515963,0.95,basin_bootstrap_median
test,xlstm,runoff_ratio,100,0.0284611502118536,0.022458140950076866,0.0361243600778673,0.95,basin_bootstrap_median
test,xlstm,fdc_slope,100,0.202418583416448,0.144603212833107,0.23318686657035553,0.95,basin_bootstrap_median
test,xlstm,baseflow_index,100,0.04337068723000349,0.03536346405086065,0.0582276242801319,0.95,basin_bootstrap_median
test,xlstm,hfd_mean,0,,,,0.95,basin_bootstrap_median
test,xlstm,q05,100,0.054635769436489304,0.0325202883710081,0.0723552322839995,0.95,basin_bootstrap_median
test,xlstm,q95,100,0.33282554156856325,0.2375030395066883,0.47613806464321506,0.95,basin_bootstrap_median
test,xlstm,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,xlstm,high_q_dur,100,0.40630060728744943,0.3076923076923075,0.5166666666666666,0.95,basin_bootstrap_median
test,xlstm,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
test,xlstm,low_q_dur,100,1.0056818181818183,0.8244047619047621,1.56060606060606,0.95,basin_bootstrap_median
test,xlstm,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
train,xlstm,q_mean,100,0.047478255468468,0.0368224271287387,0.058397566989770694,0.95,basin_bootstrap_median
train,xlstm,runoff_ratio,100,0.01455538884366515,0.011519298313436,0.0176402316741265,0.95,basin_bootstrap_median
train,xlstm,fdc_slope,100,0.1416124257578591,0.1136412322072613,0.1889883960221066,0.95,basin_bootstrap_median
train,xlstm,baseflow_index,100,0.03263253986098945,0.02520021146452155,0.043594854614030704,0.95,basin_bootstrap_median
train,xlstm,hfd_mean,0,,,,0.95,basin_bootstrap_median
train,xlstm,q05,100,0.039505689952339204,0.0253778509810756,0.0528512103131579,0.95,basin_bootstrap_median
train,xlstm,q95,100,0.2746712114167848,0.1945898007640409,0.3190468023320085,0.95,basin_bootstrap_median
train,xlstm,high_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
train,xlstm,high_q_dur,100,0.2440311986863711,0.1952250535841868,0.2929061784897024,0.95,basin_bootstrap_median
train,xlstm,low_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
train,xlstm,low_q_dur,100,0.793666859456333,0.6336441336441335,0.9842490842490843,0.95,basin_bootstrap_median
train,xlstm,zero_q_freq,100,0.0,0.0,0.0,0.95,basin_bootstrap_median
val,random_forest,q_mean,100,0.0968916885575723,0.0803890903621466,0.1220310672826117,0.95,basin_bootstrap_median
val,random_forest,runoff_ratio,100,0.031228346259673252,0.0257805256779928,0.03843081179464705,0.95,basin_bootstrap_median
val,random_forest,fdc_slope,100,0.23187618156412548,0.1556208794773134,0.2917433347575031,0.95,basin_bootstrap_median
val,random_forest,baseflow_index,100,0.0801635664205431,0.0683994683039594,0.1015882464154851,0.95,basin_bootstrap_median
val,random_forest,hfd_mean,100,5.25,3.75,6.0,0.95,basin_bootstrap_median
val,random_forest,q05,100,0.09276935190486629,0.0810677846272743,0.13279228377927896,0.95,basin_bootstrap_median
