split,attribute,target,spearman_rho,n
val,urban_fra,pbias_xlstm,-0.24928259836943614,100
val,area_calc,pbias_rf,0.24782478247824777,100
val,fdc_slope,memory_gain_xlstm_vs_rf,0.24612135050020914,100
val,soil_condu,kge_xgb,-0.2442929507649649,100
spatial_test,fdc_slope,kge_xlstm,-0.24092451345884067,49
test,aridity,pbias_xgb,0.240450540969935,100
spatial_test,area_calc,pbias_xlstm,0.2401440576230492,50
spatial_test,soil_condu,memory_gain_xlstm_vs_rf,-0.23945826778172793,50
test,forest_fra,kge_rf,-0.2380300875889009,100
spatial_test,is_impacted,memory_gain_xlstm_vs_rf,-0.2357947470619731,50
val,soil_condu,memory_gain_xlstm_vs_rf,0.23429511112719267,100
test,urban_fra,pbias_xgb,0.23306680196762872,100
spatial_test,geol_perme,pbias_xlstm,0.23279489723444804,50
test,urban_fra,pbias_rf,0.23210021802809117,100
test,aridity,pbias_rf,0.23146313841239605,100
spatial_test,is_impacted,pbias_xgb,0.2302466353663973,50
val,soil_condu,kge_xlstm,-0.2259295718384445,100
spatial_test,urban_fra,memory_gain_xlstm_vs_rf,-0.22441579497657171,50
val,urban_fra,kge_rf,-0.22376118018947194,100
val,area_calc,memory_gain_xlstm_vs_rf,-0.22349834983498346,100
val,area_calc,tree_advantage,0.2224062406240624,100
val,area_calc,sequence_gain_vs_tree,-0.2224062406240624,100
spatial_test,area_calc,pbias_rf,0.22208883553421366,50
test,soil_condu,pbias_xgb,0.2214947558166476,100
val,geol_poros,memory_gain_xlstm_vs_rf,0.22111174441865225,100
val,urban_fra,kge_xlstm,-0.21907835116562532,100
val,geol_poros,pbias_xlstm,-0.21663064250785857,100
val,forest_fra,kge_xlstm,-0.2158874747569992,100
val,fdc_slope,kge_xgb,-0.21439008217942931,100
val,geol_poros,sequence_gain_vs_tree,0.2136932982258504,100
val,geol_poros,tree_advantage,-0.2136932982258504,100
test,bfi,kge_xlstm,0.21240616186235328,100
spatial_test,forest_fra,kge_xlstm,0.2114969034391672,50
test,bfi,sequence_gain_vs_tree,-0.2106419113372224,100
test,bfi,tree_advantage,0.2106419113372224,100
val,forest_fra,kge_rf,-0.21005478649883974,100
spatial_test,aridity,kge_xgb,-0.20902192576273046,50
spatial_test,soil_tawc,kge_xlstm,-0.20863002589691884,50
test,soil_tawc,pbias_rf,0.2084626559465603,100
val,geol_perme,pbias_rf,0.20792678713790597,100
test,fdc_slope,pbias_xlstm,0.2077413973648635,100
test,soil_condu,pbias_rf,0.20711010899087326,100
