split,ID,kge_cosero,kge_rf,kge_xgb,kge_xlstm,kge_transformer,nse_cosero,nse_rf,nse_xgb,nse_xlstm,nse_transformer,pbias_cosero,pbias_rf,pbias_xgb,pbias_xlstm,pbias_transformer,best_tree_kge,best_sequence_kge,memory_gain_xlstm_vs_rf,transformer_gain_vs_rf,sequence_gain_vs_tree,tree_advantage,xlstm_minus_transformer,xgboost_gain_vs_cosero,xlstm_gain_vs_cosero,transformer_gain_vs_cosero,degimpact,typimpact,lon,lat,area_calc,p_mean,et0_mean,arid_1,arid_2,frac_snow,forest_fra,urban_fra,bedrk_dep,root_dep,soil_condu,soil_tawc,geol_perme,geol_poros,h1981_baseflow_index_ladson,h1981_baseflow_index_lfstat,h1981_slope_fdc,h1981_hfd_mean,h1981_high_q_freq,h1981_low_q_freq,has_transfer,is_impacted,bfi,fdc_slope,aridity,impact_class,snow_class,aridity_class,storage_class,geology_class,size_class
spatial_test,191,,0.3227798281230413,0.2318421938265797,0.2525317710230731,,,0.3643965238023858,0.2887499924237859,0.3459507677779675,,,5.538085275408893,4.496851529015654,-33.571467785149665,,0.3227798281230413,0.2525317710230731,-0.07024805709996818,,-0.07024805709996818,0.07024805709996818,,,,,l,-,4598598,2802527,26.129,2.87,2.25,0.78,0.83,0.06,0.046,0.127,14.27,0.5,0.335,0.09,-15.0,0.19,0.531,0.479,1.727,154.944,8.028,22.556,0,0,0.531,1.727,0.78,near_natural,low_snow,moderate_aridity,low_storage,low_perm,small
spatial_test,204,,0.3021540140002532,0.3430131193824545,0.531563680507306,,,0.3430820119541137,0.3975349119483775,0.5834222816355498,,,-20.301540703787097,-24.75550990279083,-23.498363765274327,,0.3430131193824545,0.531563680507306,0.22940966650705275,,0.18855056112485147,-0.18855056112485147,,,,,l,D,4601056,2723737,329.036,5.24,2.01,0.38,0.48,0.3,0.415,0.029,0.99,0.47,0.036,0.08,-11.8,0.061,0.61,0.593,2.901,230.417,0.778,25.639,0,1,0.61,2.901,0.38,impact_l,snow_influenced,humid,low_storage,high_perm,medium
spatial_test,216,,0.4189195328790212,0.3330043690518389,0.3573998875349347,,,0.4470248036946435,0.3137627779543652,0.4106607230488243,,,-26.233431512751167,-33.50986551198216,-18.197807575016466,,0.4189195328790212,0.3573998875349347,-0.06151964534408649,,-0.06151964534408649,0.06151964534408649,,,,,m,C,4579733,2749361,246.484,4.55,2.25,0.49,0.61,0.17,0.443,0.071,1.55,0.67,0.062,0.11,-12.5,0.168,0.622,0.576,1.812,185.583,0.5,0.333,0,1,0.622,1.812,0.49,impact_m,mixed_snow,humid,low_storage,mixed_perm,medium
spatial_test,219,,0.5231273446717587,0.3863979384784104,0.7805987463717566,,,0.5433972056216902,0.4444233977824007,0.7457341275636058,,,-11.997563561484954,-19.26919713406965,-12.891370977490476,,0.5231273446717587,0.7805987463717566,0.25747140169999794,,0.25747140169999794,-0.25747140169999794,,,,,l,-,4578038,2769635,98.028,3.92,2.2,0.56,0.63,0.12,0.413,0.056,6.58,0.5,0.102,0.08,-13.0,0.182,0.672,0.641,1.08,178.778,2.25,0.0,0,0,0.672,1.08,0.56,near_natural,mixed_snow,moderate_aridity,mixed_storage,mixed_perm,small
spatial_test,262,,0.3036040768162272,0.1332668805583192,0.43988804850873,,,0.3656236805586681,0.224049069672832,0.5050286761294084,,,-18.284570989464516,-29.029336872793976,-7.36856637353965,,0.3036040768162272,0.43988804850873,0.13628397169250278,,0.13628397169250278,-0.13628397169250278,,,,,l,-,4654134,2762569,168.996,4.15,2.23,0.54,0.79,0.2,0.915,0.003,0.71,0.37,0.053,0.07,-11.9,0.084,0.526,0.451,2.096,189.528,6.417,9.556,0,0,0.526,2.096,0.54,near_natural,mixed_snow,humid,low_storage,high_perm,medium
spatial_test,282,,0.2175535694656848,0.1500899682093421,0.5471127391014159,,,0.3326456720317005,0.2643425635408382,0.6143173901019297,,,-21.583305247441245,-27.13786767872344,-9.14518865920812,,0.2175535694656848,0.5471127391014159,0.32955916963573106,,0.32955916963573106,-0.32955916963573106,,,,,l,-,4652483,2780122,71.268,3.38,2.27,0.67,0.95,0.12,0.403,0.051,1.36,0.39,0.122,0.07,-13.3,0.186,0.471,0.397,2.361,168.722,9.417,47.667,0,0,0.471,2.361,0.67,near_natural,mixed_snow,moderate_aridity,low_storage,low_perm,small
spatial_test,284,,0.5483974523765287,0.4769297311695164,0.4043789340340703,,,0.495935122771315,0.4998524592708258,-0.0589000406545672,,,27.576218206506137,21.130366226973273,39.61242261451582,,0.5483974523765287,0.4043789340340703,-0.14401851834245838,,-0.14401851834245838,0.14401851834245838,,,,,l,-,4656343,2824737,185.274,2.73,2.18,0.8,0.88,0.12,0.357,0.062,1.0,0.76,0.885,0.11,-13.9,0.023,0.607,0.578,2.122,181.917,3.972,16.333,0,0,0.607,2.122,0.8,near_natural,mixed_snow,moderate_aridity,low_storage,low_perm,medium
spatial_test,323,,0.7392019927392568,0.7348906011989721,0.4055971959714592,,,0.7081834954263859,0.7300563300982525,0.5483324810754623,,,9.281616746734809,5.171678907616706,-1.790084560300365,,0.7392019927392568,0.4055971959714592,-0.3336047967677976,,-0.3336047967677976,0.3336047967677976,,,,,s,A,4725376,2822619,95836.573,3.41,2.23,0.65,0.79,0.15,0.366,0.054,8.4,0.96,0.328,0.13,-11.7,0.125,0.806,0.805,1.132,207.75,0.0,0.0,0,1,0.806,1.132,0.65,impact_s,mixed_snow,moderate_aridity,high_storage,high_perm,large
spatial_test,329,,0.2309401726939806,0.2582240275308138,0.3984631877532658,,,0.0773736003697701,0.1212579031170542,0.1633684722172912,,,-39.70677856078391,-37.76133933168178,-29.624334180023062,,0.2582240275308138,0.3984631877532658,0.16752301505928519,,0.14023916022245198,-0.14023916022245198,,,,,l,-,4754100,2782491,41.208,2.85,2.43,0.85,1.0,0.13,0.87,0.005,0.59,0.52,0.141,0.08,-11.8,0.063,0.781,0.776,0.924,191.75,0.833,0.0,0,0,0.781,0.924,0.85,near_natural,mixed_snow,dry,high_storage,high_perm,small
spatial_test,331,,0.046155710914004,0.0508148148398942,0.4074653534967549,,,0.1366619494188757,0.1422304390808771,0.3386818314169959,,,-38.56696499412992,-38.56024613425841,-18.09154872568266,,0.0508148148398942,0.4074653534967549,0.3613096425827509,,0.3566505386568607,-0.3566505386568607,,,,,l,-,4745145,2786534,216.332,2.91,2.42,0.83,1.01,0.14,0.735,0.026,0.7,0.43,0.151,0.07,-11.9,0.088,0.668,0.651,1.463,182.917,2.333,0.389,0,0,0.668,1.463,0.83,near_natural,mixed_snow,dry,mixed_storage,high_perm,medium
