model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
xlstm,1,6,0.00046818103339880425,0.28077764078371054,0.24033126054604848,1,0.24033126054604848,0,128,60000,60000,nse,1.0,True
xlstm,2,6,0.00038125,0.18201074442629622,0.2107473055322965,2,0.2107473055322965,0,128,60000,60000,nse,1.0,True
xlstm,3,6,0.0002625,0.15504201045676844,0.20910139130353927,3,0.20910139130353927,0,128,60000,60000,nse,1.0,True
xlstm,4,6,0.00014375000000000005,0.13547841820127166,0.1925781542380651,4,0.1925781542380651,0,128,60000,60000,nse,1.0,True
xlstm,5,6,5.681896660119581e-05,0.1226102490144879,0.19419779727458955,4,0.1925781542380651,1,128,60000,60000,nse,1.0,True
xlstm,6,6,2.5e-05,0.11165022500542435,0.18697780116001764,6,0.18697780116001764,0,128,60000,60000,nse,1.0,True
