model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
xlstm,1,6,0.00046818103339880425,0.28025456347953537,0.25823682305812834,1,0.25823682305812834,0,128,60000,60000,nse,1.0,True
xlstm,2,6,0.00038125,0.17994205717211847,0.22440847216248513,2,0.22440847216248513,0,128,60000,60000,nse,1.0,True
xlstm,3,6,0.0002625,0.15903348312067833,0.1990307286520799,3,0.1990307286520799,0,128,60000,60000,nse,1.0,True
xlstm,4,6,0.00014375000000000005,0.14026870953439396,0.1910007256070773,4,0.1910007256070773,0,128,60000,60000,nse,1.0,True
xlstm,5,6,5.681896660119581e-05,0.12476606871972461,0.19145942891041437,4,0.1910007256070773,1,128,60000,60000,nse,1.0,True
xlstm,6,6,2.5e-05,0.11398678972745246,0.18478728402058284,6,0.18478728402058284,0,128,60000,60000,nse,1.0,True
