model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
xlstm,1,12,0.0003443351686205576,0.26433150737257133,0.2239935955564181,1,0.2239935955564181,0,256,150000,120000,nse,1.0,True
xlstm,2,12,0.00032772672337916297,0.16373765152011308,0.20195415603319805,2,0.20195415603319805,0,256,150000,120000,nse,1.0,True
xlstm,3,12,0.0003013065023722635,0.1435440527751991,0.2078618121623993,2,0.20195415603319805,1,256,150000,120000,nse,1.0,True
xlstm,4,12,0.000266875,0.13038541079076077,0.2013196049809456,4,0.2013196049809456,0,256,150000,120000,nse,1.0,True
xlstm,5,12,0.0002267786662482941,0.11957044369277287,0.18593682500123979,5,0.18593682500123979,0,256,150000,120000,nse,1.0,True
xlstm,6,12,0.00018375000000000002,0.10990339778236562,0.18585421877304714,6,0.18585421877304714,0,256,150000,120000,nse,1.0,True
xlstm,7,12,0.00014072133375170597,0.10186034195608247,0.18166729954878488,7,0.18166729954878488,0,256,150000,120000,nse,1.0,True
xlstm,8,12,0.00010062500000000006,0.09394482995539191,0.18928929669857025,7,0.18166729954878488,1,256,150000,120000,nse,1.0,True
xlstm,9,12,6.61934976277365e-05,0.08736487615967976,0.19490818313360214,7,0.18166729954878488,2,256,150000,120000,nse,1.0,True
xlstm,10,12,3.977327662083707e-05,0.08197323013567477,0.19310430185000102,7,0.18166729954878488,3,256,150000,120000,nse,1.0,True
xlstm,11,12,2.3164831379442416e-05,0.07824688277019778,0.19155254567464192,7,0.18166729954878488,4,256,150000,120000,nse,1.0,True
