model,epoch,epochs_max,learning_rate,train_loss,val_loss,best_epoch,best_val_loss,stale_epochs,batch_size,sample_count_train,sample_count_val,loss,grad_clip,cosine_schedule
transformer,1,8,0.0009638427779428612,0.39087070524692535,0.25880295571486156,1,0.25880295571486156,0,256,60000,60000,nse,1.0,True
transformer,2,8,0.0008608757210636101,0.21548128717757287,0.24714536614418028,2,0.24714536614418028,0,256,60000,60000,nse,1.0,True
transformer,3,8,0.0007067746303734177,0.1825118658390451,0.2204136438290278,3,0.2204136438290278,0,256,60000,60000,nse,1.0,True
transformer,4,8,0.000525,0.1692498322179977,0.21121837309996286,4,0.21121837309996286,0,256,60000,60000,nse,1.0,True
transformer,5,8,0.0003432253696265824,0.15304858646494277,0.22317896638711293,4,0.21121837309996286,1,256,60000,60000,nse,1.0,True
transformer,6,8,0.00018912427893638995,0.13862706625715215,0.1971449207385381,6,0.1971449207385381,0,256,60000,60000,nse,1.0,True
transformer,7,8,8.61572220571388e-05,0.12706683921687145,0.1946119644721349,7,0.1946119644721349,0,256,60000,60000,nse,1.0,True
transformer,8,8,5e-05,0.12061054874607857,0.19395245780150094,8,0.19395245780150094,0,256,60000,60000,nse,1.0,True
